姓名,籍贯,主要伪职（南京）,结局
汪精卫,广东三水,汪伪国民政府主席、行政院院长，在南京建立汪伪政权，签署卖国条约，承认伪满洲国。,1944 年病死于日本名古屋；战后坟墓被炸毁，挫骨扬灰
陈公博,广东南海,汪伪立法院长，汪精卫死后任伪国民政府代主席，汪伪二号核心人物中国社会科...。,1946 年苏州以汉奸罪枪决
周佛海,湖南沅陵,汪伪行政院副院长、财政部长，掌控汪伪财政、税警系统，滥发伪币搜刮沦陷区物资中国社会科...。,初判死刑，改无期徒刑，1948 年狱中病逝
陈璧君,广东新会（马来西亚）,汪精卫妻子，汪伪中央监察委员，深度参与汪伪高层决策，长期居留南京。,判处无期徒刑，1959 年上海监狱病逝
褚民谊,浙江吴兴,汪伪外交部长，汪精卫姻亲，主持对日外交，签订卖国协定中国社会科...。,1946 年苏州枪决
梁鸿志,福建长乐,原伪维新政府行政院长；汪伪监察院院长、立法院长，伪维新政府首要头目，前期统治南京环球网。,1946 年上海枪决
梅思平,浙江永嘉,汪伪组织部长、实业部长、内政部长；最早和日本谈判投敌条件，汪伪核心谋士。,1946 年南京老虎桥监狱枪决
林柏生,广东信宜,汪伪宣传部部长，主管奴化宣传、报刊舆论，炮制投降论调中国社会科...。,1946 年南京枪决
丁默邨,湖南常德,汪伪社会部长、特务委员会副主任，76 号特工总部主任，在南京上海捕杀爱国志士。,1947 年南京枪决
李圣五,山东泰安,汪伪司法行政部部长，主持伪司法系统，为日伪统治提供法理包装光明数字报。,汉奸罪判处 15 年徒刑
岑德广,广西西林,汪伪赈务委员会委员长，伪经理总监部部长，汪伪财政高官，主管物资搜刮光明数字报。,抗战胜利被捕，后潜逃香港逃脱重刑
鲍文樾,辽宁沈阳,汪伪军政部代部长，原东北军将领，主持伪军整编训练光明数字报。,判处死刑，后改无期徒刑
罗君强,湖南湘乡,汪伪中央政治委员会委员，税警总团总团长，参与清乡，后外放安徽省长。,判处无期徒刑，1970 年病逝狱中
高冠吾,江苏崇明,伪维新政府南京市政督办；汪伪时期外放苏皖赣省长，南京沦陷早期傀儡市长。,抗战胜利逮捕，病死狱中
蔡培,江苏无锡,汪伪南京特别市第一任市长，改组南京伪市府，推行保甲、良民证制度抖音百科。,汉奸罪判处徒刑
周学昌,河北安新,汪伪南京特别市末代市长，主持南京地方行政，配合日军物资征调央视网。,1946 年南京判处死刑执行枪决
温宗尧,广东台山,汪伪司法院院长，旧政客，参与伪维新政府，后并入汪伪。,判处无期徒刑，1947 年狱中病死
江亢虎,江西弋阳,汪伪考试院院长，鼓吹投降理论，推行奴化教育中国社会科...。,被捕关押，病死狱中
傅式说,浙江乐清,汪伪铁道部长、伪浙江省长，主管沦陷区铁路资源，为日军输送物资。,1947 年上海枪决
杨揆一,湖北鹤峰,汪伪参谋本部代部长，伪军事参议院院长，负责伪军作战参谋事务光明数字报。,1946 年武汉枪决
凌霄,浙江崇德,汪伪海军部次长、代海军部长，汪伪海军头目，驻南京。,汉奸罪逮捕，判处死刑
