姓名,籍贯,主要附敌伪职与行为,结局
辜显荣,台湾鹿港,1895 年迎接日军进入台北城，任台北保良总局局长；取得盐、鸦片专卖特权，日本贵族院议员；抗战时期赴大陆鼓吹 “日华亲善”，为日军筹措物资，协助镇压台湾抗日义军抖音百科。,1937 年病死于东京，未等到光复清算
谢介石,台湾新竹,伪满洲国首任外交部总长，主导伪满外交，大量引荐台湾人赴东北出任伪职，为日本分裂中国效力。,抗战胜利被捕，关押于抚顺战犯管理所，1954 年狱中去世
苏云英,台湾高雄,勾结日军，诱杀抗日义军领袖林少猫及其部众五百余人；把持地方税收，协助殖民当局管控高雄，压榨地方百姓。,1919 年病死，未经历战后审判
林熊祥,台湾板桥（板桥林家）,皇民奉公会核心高层；日本投降当夜参与草山 “台湾自治委员会” 阴谋，企图借日军力量搞变相 “独立”，抗拒国民政府接收台湾。,1946 年被捕，判处有期徒刑，后获减刑释放
许丙,台湾台北,日据时期台湾金融界巨头，皇民奉公会要员；参与草山阴谋，谋划所谓台湾自治。,战后被捕判刑，获释后经商
林景仁,台湾板桥,板桥林家，赴伪满洲国任职，伪满外交部政务司欧美科科长，服务伪满傀儡政权。,抗战胜利后被捕，后释放返回台湾
谢华辉,台湾台南,赴华北沦陷区，出任伪渤海道尹，伪华北政务委员会地方高官，治理沦陷区地方。,战后在北平被捕，多方营救，后获释回台，存在辩护争议。
蓝振德,台湾台南,长期在大陆沦陷区活动，为日本情报机关工作，从事商贸掩护特务活动，在厦门、上海活动。,福建肃奸时逮捕，审判后获释回台。
钟壬寿,台湾,赴南京汪伪政权，任职汪伪相关机构，作为台籍人员配合日方对东南沿海开展工作，吴浊流《无花果》有记载。,抗战胜利后返回台湾
彭盛木,台湾,我方军统潜伏特工，汪伪财政部参事，周佛海日语翻译，为重庆搜集情报，不属于汉奸抖音百科。,身份暴露被捕，受酷刑，保释后伤重去世
