姓名,籍贯,伪任职务,结局
德穆楚克栋鲁普（德王）,内蒙古苏尼特右旗,伪蒙疆联合自治政府主席，伪蒙古军政府总裁，伪政权总头目，配合日军扫荡大青山根据地，推行奴化分裂政策,1950 年从蒙古引渡回国关押，1963 年特赦，1966 年呼和浩特病逝人民网
李守信,内蒙古卓索图盟土默特右旗,伪蒙疆政府副主席、伪蒙古军总司令，伪蒙疆最高军事统帅，多次进攻抗日根据地,1950 年引渡回国关押，1964 年特赦，1970 年病逝
于品卿,河北冀州,伪蒙疆联合自治政府副主席，张家口伪政权核心，主管经济搜刮物资,1945 年张家口解放，晋察冀边区公审，执行死刑
吴鹤龄,内蒙古喀喇沁旗,伪蒙疆参议府议长，伪政务院院长，德王核心幕僚，起草伪政权法令,1949 年逃往台湾，客死台湾，未受审判
卓特巴扎普,内蒙古察哈尔,伪蒙疆政务院院长，察盟伪高官，协助德王组建伪政权,苏军俘虏押往蒙古，病死于乌兰巴托狱中
杜运宇,山东,伪蒙疆交通部长，主管平绥铁路，为日军转运兵员物资,关押改造期间病亡，未等到特赦
王英,河北万全,伪 “大汉义军” 总司令，绥远伪军头目，绥远抗战进攻百灵庙主力，匪军出身,抗战胜利后被国民政府逮捕，1950 年公审枪决抖音百科
宝贵廷,内蒙古,伪蒙古军第四师师长，伪蒙古军司令部少将，长期驻防绥远,关押改造，1966 年特赦释放
刘继广,山东,伪蒙古军第一师师长，后任伪包头市首任市长,日本投降后潜逃，后被捕判处徒刑
尹宝山,热河林西（今内蒙古赤峰）,伪蒙古军第二师师长，随李守信投敌，驻防商都,1937 年作战失利被解职，抗战后被捕判刑
包悦卿,内蒙古科尔沁,伪蒙古军第八师师长，早期伪蒙骨干,1939 年病亡，逃脱审判
雄诺敦都布（雄努敦都布）,内蒙古,伪蒙古军警卫师师长，伪蒙疆保安负责人,1959 年特赦释放
甘珠尔扎布,内蒙古科尔沁,伪满第九军管区中将司令，东蒙伪满高级将领，镇压抗日武装,抚顺战犯管理所关押，1966 年特赦释放
阿拉坦鄂齐尔（阿王）,内蒙古杭锦旗,伪伊克昭盟盟长，鄂尔多斯附逆王公，常驻包头，协助日军掠夺河套物资,1949 年病逝，逃脱汉奸审判
文画君,山西,伪蒙疆司法部长，主管伪司法，迫害爱国人士,1946 年张家口公审判处死刑执行枪决
许维本,河北,伪张家口高等法院院长，伪蒙疆司法系统骨干,1946 年公审处决
