姓名,籍贯,主要伪职与罪行,结局
陶保晋（陶锡三）,江宁人,南京沦陷后出任南京市自治委员会会长，伪维新政府立法委员；江宁籍士绅，利用地方声望协助日军维持占领秩序。主要活动在南京城，但籍贯江宁。,抗战胜利以汉奸罪逮捕，病死狱中抖音百科
王一凡,不详,汪伪江宁县伪县长，伪县府驻秣陵关；推行保甲、良民证，征粮拉夫，配合日伪对横山根据地扫荡清剿。,战后汉奸罪判处徒刑关押
陈孟和,不详,第二任伪江宁县县长，强化物资统制，管制秣陵‑禄口‑湖熟各据点。,抗战胜利捕获，判处有期徒刑
黄启华,不详,末代伪江宁县县长，直至日本投降。,1946 年江苏高等法院判刑
夏孝义,江宁陆郎花塘,陆郎独立警备队头目，原游击队员叛变投敌；盘踞陆郎据点，招募散兵，多次扫荡横山根据地，残害抗日军民，谈判劝降拒不悔改。,1944‑08‑21 新四军四十六团攻坚，击毙于据点内南京雨花台...
杨惠生,江宁郭庄庙,伪郭庄乡乡长、大刀会头目，勾结郭庄庙伪军，敲诈地方，搜捕新四军地方干部陶家齐等人，为日伪出谋划策。,被陶家齐率领短枪队潜入据点，当场击毙南京市江宁...
张治邦,江宁湖熟赤山,伪镇长，多次向日军通风报信；我方多次警告仍死心塌地附敌，搬迁至湖熟依仗据点作恶。,短枪队伏击，在赤山‑湖熟道口被击毙南京市江宁...
朱永祥,江宁小丹阳,打着 “江南抗日游击司令” 旗号，暗通日军，准备率部投敌，横征暴敛残害百姓。尚未正式接受伪番号，但已经和日方密使谈判勾结。,1938 年新四军第一支队将其部队剿灭，朱永祥被俘处决
周某某（佚名）,江宁谷里,谷里密探，在游击区搜集情报，向秣陵关日军告密，危害地下组织。,“红小鬼班” 武工队抓捕，送横山县抗日民主政府公审处置南京雨花台...
杨姓暗探（佚名）,江宁西善桥,西善桥日军密探，长期混迹鸦片烟馆，刺探我方人员行踪。,武工队闯入烟馆抓捕，送交民主政府审判南京雨花台...
刘老三,江宁秣陵关,伪警察局侦缉队长，在秣陵关盘查行人，抓捕地下交通员，严刑逼供。,抗战胜利公审枪决
赵得宝,江宁禄口,伪禄口乡自卫团长，为日军征集粮草民夫，带路 “清乡”。,抗战胜利后群众控诉，判刑劳改
冈本一雄,日本,日军特务，化装冒充伪县长王一凡模样潜入根据地诱骗群众；1944 年在禄口公路被江宁县短枪队伏击抓获，随行 6 名华人特务一并被俘。,作为特务审判处置，日方人员战后遣返日本
