姓名,籍贯,伪任职务,结局
倪道烺,安徽阜阳,伪安徽省维新政府省长、汪伪安徽省政府主席（首任），省府蚌埠，搜刮物资、贩毒、强征劳工抖音百科,1951 年蚌埠公审枪决
高冠吾,江苏崇明,汪伪安徽省主席、省长、保安司令，此前任伪江苏省主席，主持安徽清乡,抗战胜利被捕，病死狱中
罗君强,湖南湘潭,汪伪安徽省省长兼蚌埠绥靖主任，周佛海心腹，掌控税警武装,战后判处无期徒刑，1970 年狱中去世
林柏生,广东信宜,汪伪末代安徽省省长，汪伪宣传部长，汪的铁杆亲信,1946 年南京以汉奸罪执行死刑
唐少侯,安徽寿县,伪安徽省财政厅长，蚌埠维持会骨干，协助倪道烺组建伪政权,1951 年蚌埠公审枪决
沈席儒（沈夕俩）,安徽蚌埠,伪蚌埠警备司令、伪军师长，皖北伪军头目，参与清乡、贩卖鸦片敛财抖音百科,1951 年押回蚌埠公审枪决
张昌德,安徽南陵,伪皖南特别区行政长官、伪军师长，盘踞芜湖、南陵一带，皖南最大伪军头目,抗战胜利后被国民政府处决
任凤昌,安徽芜湖,伪芜湖维持会头目、伪芜湖商会，为日军搜刮物资，残害百姓,1951 年芜湖公审枪决
傅君实,安徽蚌埠,蚌埠维持会首任会长，伪政权早期骨干中安在线,1951 年蚌埠公审处决
秦松亭,安徽凤阳,伪凤阳县县长，皖北伪地方核心人物,1951 年蚌埠公审枪决
窦光殿,安徽濉溪,汪伪暂编第十五师师长，皖北重要伪军，兵力五千余人，扫荡淮北抗日根据地,抗战胜利后被捕，公审处决
张海生,安徽泗县,伪淮海省第六总队司令，盘踞张楼据点，捕杀新四军与群众，抵抗解放进攻,1951 年公审枪决
江亢虎,安徽旌德,汪伪考试院院长，文化汉奸，附逆鼓吹奴化理论,抗战后被捕，病死狱中
王揖唐,安徽合肥,伪华北政务委员会委员长（不在安徽任职，皖籍大汉奸），推行治安强化运动,1948 年北平枪决
