姓名,籍贯,主要伪职（无锡）,结局
杨翰西,无锡,无锡伪自治委员会委员长（沦陷初期最高傀儡），无锡工商巨头，协助日军恢复城市秩序、管控工商业；后挂汪伪水利委员会委员虚衔，后期退出地方伪政权。,抗战胜利被捕，后保释，逃往香港终老，未受重刑审判
张揆伯,无锡,无锡治安维持会核心委员，汪伪第一任伪无锡县县长，主持组建早期伪县府，推行保甲、征调物资。,战后逮捕，判处有期徒刑，病死狱中
杨高伯,无锡,维持会委员，第二任伪无锡县长，对日态度强硬，残酷对待抗日人员。,1940 年被抗日锄奸人员刺杀；日军为此闭城大搜捕一周
秦亮功（秦亮工）,无锡,维持会委员，第三任伪无锡县长，周旋于日伪与地方士绅之间。,抗战胜利逮捕，汉奸罪判处徒刑关押
曹湘,不详,第四任伪无锡县长，强化清乡配套行政，摊派田赋捐税。,战后捕获，判处重刑
李祖宇,不详,第五任伪无锡县长，配合日伪第二期清乡，编组保甲联保切结。,抗战胜利判刑入狱
王友梅,不详,第六任伪无锡县长，继续执行清乡封锁政策。,战后汉奸罪审判，长期监禁
杨彦斌,不详,第七任（末代）伪无锡县长，多次带领日伪军下乡 “清剿” 太湖抗日游击队。,日本投降被捕，判处死刑执行枪决无锡市档案...
缪斌,无锡南门,汪伪立法院副院长、考试院副院长；无锡出身的汪伪中央级大汉奸，曾秘密与重庆私下联络。主要任职在南京，不在无锡本地履职。,1946 年苏州以汉奸罪枪决，是第一个被处决的汪伪中央大员
杨祖钰,无锡,日军宣抚班汉奸爪牙，胁迫地方士绅出任伪职，为日军物色傀儡人选，充当特务耳目。,光复后公审枪决
陈湛如,无锡,汪伪无锡伪商会会长，胁迫商户缴纳苛捐，为日军搜刮物资。,战后逮捕判刑
张润珊,无锡,继任汪伪伪无锡商会会长，配合日伪物资统制。,汉奸罪判处有期徒刑
徐秉钧,无锡,伪无锡警察局局长，掌控伪警察武装，配合特务搜捕地下抗日人员。,抗战胜利后判处死刑枪决
周阿福,无锡,无锡日伪特务队头目，投靠日本宪兵队，抓捕、残害爱国群众，作恶多端。,抗战胜利公审处决
