姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
任凤昌,芜湖老城区,安徽,芜湖,[芜湖维持会首任会长],HIGH,屠杀、大屠杀,制造城内大屠杀,伪职：芜湖维持会首任会长；罪行：引狼入室，带日军从竹丝港开进芜湖，制造城内大屠杀；组建最早伪维持会，搜刮财物，强征粮草资敌。；结局：解放后公审镇压处决。,罪行：引狼入室，带日军从竹丝港开进芜湖，制造城内大屠杀,解放后公审镇压处决。
何举之,,,,[伪清丰县县长；依附日军，掠夺粮棉物资，制造多起抓捕惨案。],HIGH,惨案,制造多起抓捕惨案,伪职：伪清丰县县长；依附日军，掠夺粮棉物资，制造多起抓捕惨案。；结局：战后逮捕判刑,依附日军，掠夺粮棉物资，制造多起抓捕惨案。,战后逮捕判刑
余传忠,江西瑞昌,江西,九江,"[军长, 县长]",HIGH,屠杀、扫荡,,伪任职务：伪瑞昌县县长、伪保安总队长，多次带路扫荡，屠杀抗日军民。结局：1945 年日本投降后被诱捕捕杀,伪任职务：伪瑞昌县县长、伪保安总队长，多次带路扫荡，屠杀抗日军民。结局：1945 年日本投降后被诱捕捕杀,1945 年日本投降后被诱捕捕杀
余昆山,望江杨湾,安徽,安庆,[杨湾汉奸],HIGH,惨案,参与杨湾惨案,伪职：杨湾汉奸；罪行：搜集乡间情报向日军告密，参与杨湾惨案，敲诈当地乡民财物望江新闻网。；结局：捕获后依法镇压。,罪行：搜集乡间情报向日军告密，参与杨湾惨案，敲诈当地乡民财物望江新闻网。,捕获后依法镇压。
关雅亭,通辽,内蒙古,通辽,[伪兴安南警备军副官处长；参与策划 “归还兵惨案”，诱骗起义蒙古武装，协助日军解除武装、屠杀起义官兵。],HIGH,惨案、屠杀,归还兵惨案,伪职：伪兴安南警备军副官处长；参与策划 “归还兵惨案”，诱骗起义蒙古武装，协助日军解除武装、屠杀起义官兵。；结局：解放后镇反公审枪决,参与策划 “归还兵惨案”，诱骗起义蒙古武装，协助日军解除武装、屠杀起义官兵。,解放后镇反公审枪决
冯小黑子,怀宁月山、凉亭乡,安徽,安庆,[月山据点便衣特务],HIGH,惨案,酿成民间惨案,伪职：月山据点便衣特务；罪行：先投靠日军当情报特务，后又摇摆向国民党；日军为抓捕他扑空叶家享堂，迁怒无辜平民，酿成民间惨案中安在线。；结局：被我方武工队追踪击毙。,日军为抓捕他扑空叶家享堂，迁怒无辜平民，酿成民间惨案中安在线。,被我方武工队追踪击毙。
凌以忠,河北,河北,,[伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，部署全县扫荡，强征粮款民夫资敌。],HIGH,惨案、扫荡,参与策划潘家峪惨案,伪职：伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，部署全县扫荡，强征粮款民夫资敌。；结局：抗战胜利公审判处死刑,参与策划潘家峪惨案，部署全县扫荡，强征粮款民夫资敌。,抗战胜利公审判处死刑
凌以忠,,,,[伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，召集日伪会议部署扫荡，征调民夫、粮饷资敌。],HIGH,惨案、扫荡,参与策划潘家峪惨案,伪职：伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，召集日伪会议部署扫荡，征调民夫、粮饷资敌。；结局：抗战胜利公审判处死刑,参与策划潘家峪惨案，召集日伪会议部署扫荡，征调民夫、粮饷资敌。,抗战胜利公审判处死刑
刘万宝,凉城,内蒙古,乌兰察布,[伪凉城警备大队长；铁杆伪军，频繁进山 “治安肃正”，制造多起村庄惨案。],HIGH,惨案,制造多起村庄惨案,伪职：伪凉城警备大队长；铁杆伪军，频繁进山 “治安肃正”，制造多起村庄惨案。；结局：凉城解放被俘公审枪决,铁杆伪军，频繁进山 “治安肃正”，制造多起村庄惨案。,凉城解放被俘公审枪决
刘佩忱,沧县仁和村,河北,沧州,[巨匪投敌，伪渤海道剿共总司令；沧盐一带作恶，抓捕壮丁充伪军，多次扫荡，屠杀平民；日本投降后改任国民党沧州城防司令。1947 沧州解放被俘，押解途中气绝，补枪执行死刑。],HIGH,屠杀、扫荡,,伪职：巨匪投敌，伪渤海道剿共总司令；沧盐一带作恶，抓捕壮丁充伪军，多次扫荡，屠杀平民；日本投降后改任国民党沧州城防司令。1947 沧州解放被俘，押解途中气绝，补枪执行死刑。；结局：1947 被俘，押解途中死亡，补枪处决,沧盐一带作恶，抓捕壮丁充伪军，多次扫荡，屠杀平民,1947 被俘，押解途中死亡，补枪处决
