"Id","Name","CourtesyName","Pseudonym","BirthYear","DeathYear","BirthYearType","DeathYearType","NativePlace","AliasesJson","IdentityTagsJson","Period","Faction","Summary","RelatedIdsJson","CreatedAt","UpdatedAt","province","city","country","town","village"
"0005b54f5bc2482fb70ee8fe36729ee6",于守业,,,,,exact,exact,大连西岗,[],"[""伪西岗街长""]",抗日战争时期,"",伪职：伪西岗街长；罪行：接受关东州任命；强征劳工、摊派战时物资，检举私吃细粮、拒绝出工居民，配合抓捕爱国工人。；结局：1946 群众控诉，判刑劳改。,[],"2026-08-27 03:29:02.090971","2026-08-27 03:29:02.090971",,,,,
"004e37035c654b168d8dfbbaa0ed60f6",宋子君,,,,,exact,exact,"",[],"[""伪汾阳县县长""]",抗日战争时期,"",伪职：伪汾阳县县长；罪行：建立汾阳伪公署，管控太汾公路，强征粮食壮丁，多次配合日军扫荡晋绥八分区。；结局：1945 解放文水战斗中被击毙,[],"2026-08-27 03:29:02.090393","2026-08-27 03:29:02.090393",,,,,
"006f961033354aa4a641b504ef19f1d1",周敦复,,,,,"","",高邮,[],"[""县长""]",抗日战争时期,汪伪政权,伪任职务：末代伪高邮县长，直至 1945 年 12 月高邮解放。。结局：高邮战役被俘，公审判刑,[],"2026-08-26 17:52:47","2026-08-26 17:52:47",,,,,
"00763c84aaad4267bf110fb54aa95677",周阿荣,,,,,exact,exact,永嘉瞿溪、郭溪一带,[],"[""日伪密探""]",抗日战争时期,"",伪职：日伪密探；罪行：长期潜伏山区，刺探抗日武装行踪，多次引导日军进山扫荡，残害山区百姓。；结局：被浙南武工队抓获处决。,[],"2026-08-27 03:29:02.101012","2026-08-27 03:29:02.101012",,,,,
"00e81a56b24a419eb5022d41795e20c0",张兆和,,,,,exact,exact,太平（黄山区）北部樵山边境,[],"[""叛变投敌原国军下级军官""]",抗日战争时期,"",伪职：叛变投敌原国军下级军官；罪行：在泾县战场被俘投敌，受日伪指派潜回太平樵山游击区，策反游击队员，搜集皖南山地县委活动情报。；结局：被皖南游击队捕获公审镇压。,[],"2026-08-27 03:29:02.104732","2026-08-27 03:29:02.104732",,,,,
"00f44aced7bd4b2db65fb72c4b44c7cb",马千里,,,,,exact,exact,安庆、怀宁全域,[],"[""汪伪首任伪怀宁县县长""]",抗日战争时期,"",伪职：汪伪首任伪怀宁县县长；罪行：经天主堂神父举荐出任伪县长，搭建伪怀宁县公署，推行保甲，强征粮秣民夫，配合日军清乡扫荡四乡，管制长江航运码头。；结局：抗战胜利汉奸审判伏法。,[],"2026-08-27 03:29:02.104514","2026-08-27 03:29:02.104514",,,,,
"00fb7c5f1e3148a788def93c974bd167",吴老三,,,,,exact,exact,龙游湖镇、詹家,[],"[""龙游便衣特务""]",抗日战争时期,"",伪职：龙游便衣特务；罪行：依附日军，敲诈乡镇商户，告密爱国人员，多次随同日军下乡骚扰。；结局：日军撤退后被公审处决。,[],"2026-08-27 03:29:02.102144","2026-08-27 03:29:02.102144",,,,,
"0108ff1eafb4477b84015b2247144149",曾国治,,,,,exact,exact,泉州、厦门闽南文化生...,[],"[""原泉州律师，厦门伪维持会科长""]",抗日战争时期,"",伪职：原泉州律师，厦门伪维持会科长；罪行：泉州籍，赴厦门投靠伪政权，出任伪维持会科长，参与伪行政事务，为日伪拉拢泉州本地士绅。；结局：抗战胜利汉奸法庭审判定罪。,[],"2026-08-27 03:29:02.079608","2026-08-27 03:29:02.079608",,,,,
"010c0ad6061f4202a5ddaa549ea80b06",周秉衡,,,,,exact,exact,城关,[],"[""伪铜陵县财政科长""]",抗日战争时期,"",伪职：伪铜陵县财政科长；罪行：经济汉奸，征收各类苛捐杂税，为日军征集粮食、铜铁等战略物资，摊派商户捐款。；结局：战后判处有期徒刑。,[],"2026-08-27 03:29:02.104431","2026-08-27 03:29:02.104431",,,,,
"0113a5b96232407bb3055770f21ea1ce",周宝臣,,,,,exact,exact,抚宁,[],"[""伪特务系长，长城沿线密探总头目。""]",抗日战争时期,"",伪职：伪特务系长，长城沿线密探总头目。；结局：镇反时期处决,[],"2026-08-27 03:29:02.091980","2026-08-27 03:29:02.091980",,,,,
"012cf5d271824dd192ab07b886e8be52",徐广凤,,,,,exact,exact,锦西,[],"[""伪警察，光复后国民党保安队长""]",抗日战争时期,"",伪职：伪警察，光复后国民党保安队长；罪行：原为日伪伪警察头目；日本投降后摇身一变成为国民党保安队长，在锦西一带与民主政权作战，残害群众。；结局：1946 年战斗中被击毙葫芦岛市人...。,[],"2026-08-27 03:29:02.093823","2026-08-27 03:29:02.093823",,,,,
"01548c7dc858430d865976486f2a10ef",莫辅亭,,,,,exact,exact,临榆,[],"[""城子庄伪保卫团团长；管控秦皇岛近郊，搜集游击武装情报，抓捕城郊潜伏人员。""]",抗日战争时期,"",伪职：城子庄伪保卫团团长；管控秦皇岛近郊，搜集游击武装情报，抓捕城郊潜伏人员。；结局：解放后镇反公审处决,[],"2026-08-27 03:29:02.097761","2026-08-27 03:29:02.097761",,,,,
