"地区","姓名","职务","主要罪行","结局"
"濮阳全县","石友三","伪三十九集团军总司令（原国民党冀察战区第十军团）","1939年下半年至1940年底盘踞濮县（今属范县）长达18个月，投靠日本当汉奸。与日军签订“共同防共协定”三条（互不侵犯、互通情报、互相协助）。独霸一方，向濮阳、清丰、南乐、范县、观城、莘县等县强征粮款、抓兵抓夫，百姓流传歌谣：“石友三，大汉奸，给日本，把事办”","1940年12月1日，被部下高树勋在新八军军部诱捕后活埋"
"濮阳全县","石友信","伪六十九军师长（石友三之弟）","1940年3月代表石友三到开封会见日本驻军司令官佐佐木，签订投降协定","与石友三同时死亡"
"濮阳全县","孙良诚","伪第二方面军总司令（原国民党鲁西行署主任）","原西北军将领，抗战期间投日当汉奸。率伪军两个军约2万多人，控制濮县、濮阳县之间广大地区。亲率总部进驻濮阳县城东南八公桥，设坚固据点百余处，配合日军扫荡冀鲁豫根据地","1945年日本投降后投靠国民党；解放战争中被俘"
"濮阳县","张世宽","濮阳县庆祖集伪军队长","原国民党丁树本部连长，1940年丁部南撤时率部投降日军，驻守庆祖集炮楼，手下伪军80余人。强修大型炮楼工事，常年向周边村庄敲诈粮款牲畜，抓捕过往抗日人员","1941年被濮阳县抗日大队夜袭庆祖集炮楼时击毙"
"濮阳县","张世浦","濮阳县庆祖集伪军队副队长","张世宽之弟，与张世宽一同投敌作恶","与张世宽一同被击毙"
"濮阳县","翟香庭（外号翟马年）","汉奸特务","利用伪装抗日武装，将抗日志士刘汉三诱捕","待考"
"濮阳县","张雅轩","伪警备旅骑兵连长","濮阳县胡村集人，商人出身，驻扎胡村据点","待考（后被我敌工站争取）"
"濮阳县","谢冠三","汉奸特务（国民党特工）","濮阳国特分子，曾密报丁树本是假抗日，敲诈群众二百余元","被丁树本以敲诈罪名活埋于田大村"
"濮阳县","董风海","伪军头目","在濮阳一带组建伪军武装，设司令部","待考"
"濮阳县","周善三","濮阳第一区区长","丁树本部下，奉命为丁筹备宴席与关幼云举行结婚典礼","待考"
