"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪省/道级","益都（今青州）","方永昌","伪青州道道尹","1938年日军侵占益都后，成立伪“青州道道尹公署”，方永昌任道尹，管辖全省六分之一地区，为日军推行殖民统治[reference:0][reference:1]","待考"
"伪省/道级","潍县","厉文礼","伪鲁东和平建国军司令（原国民党潍县县长、第八区专员）","河北蓟县人。1930年任诸城县长，1932年调任潍县县长。1938年弃城逃入山区。1943年2月在安丘城顶山被日军俘虏后率部投降，被委任为伪鲁东和平建国军司令，所辖兵力一度达3万余人，盘踞13个县[reference:2][reference:3][reference:4]","1954年1月以汉奸杀人罪被人民政府枪决[reference:5][reference:6]"
"伪省/道级","潍县","毛寄尘","伪潍县维持会会长→伪潍县县知事（首任）","潍县沦陷后与毛彩臣、郭雨若等出城迎接日军入城，组成维持会任会长[reference:7]。1938年4月伪县公署成立后继任县知事[reference:8][reference:9]。督办搜集钢轨枕木修复铁路[reference:10]","任职半年后被伪省长马良免职[reference:11]"
"伪省/道级","潍县","帅景略","伪潍县县知事（第二任）","接替毛寄尘任伪县知事，系“大烟鬼”，仅干了半年多[reference:12]","待考"
"伪省/道级","潍县","常之英","伪潍县县知事","接替帅景略任伪县知事[reference:13]","待考"
"伪省/道级","潍县","邱少尹","伪潍县县知事","接替常之英任伪县知事[reference:14]","待考"
"伪省/道级","潍县","徐观政","伪潍县县知事","接替邱少尹任伪县知事[reference:15]","待考"
"伪省/道级","潍县","曲化如","伪潍县县知事","接替徐观政任伪县知事[reference:16]","待考"
"伪省/道级","益都（今青州）","丁训斋","伪益都县知事","1938年日军侵占益都后成立的伪益都县公署知县[reference:17][reference:18]","待考"
"伪省/道级","昌乐","王瑞周","伪昌乐维持会会长→伪昌乐县长","1938年1月日军占领昌乐后，与王锡朋、王尧村组织维持会[reference:19]。后被委为伪县长[reference:20]","待考"
"伪省/道级","昌乐","王锡朋","伪昌乐维持会成员","与王瑞周一同组织维持会，为日军服务[reference:21]","待考"
"伪省/道级","昌乐","王尧村","伪昌乐维持会成员","与王瑞周一同组织维持会，为日军服务[reference:22]","待考"
"伪省/道级","昌乐","（佚名伪县长）","伪昌乐县长（后期）","汉奸县长，曾多次劝降抗日烈士出任伪职，遭烈士破口大骂[reference:23]","待考"
"伪军头目（最大汉奸）","诸城/高密","张步云（张天霓）","伪山东第二路剿匪司令、伪军头目","诸城（原属高密）人。长期充当土匪、汉奸首领，率部绑票劫舍、烧杀掳掠[reference:24]。1945年3月17日率1500余名伪军配合200余名日军突袭刘家庄，屠杀抗日军民[reference:25][reference:26]。一次烧毁仁家庄民房200多间，将数十名妇女儿童活活烧死[reference:27]","抗战胜利后只身逃往青岛，经王耀武批准在青岛被枪决[reference:28]"
"伪军头目","寿光","张景月（张寰峰）","伪军头目（原国民党保安十五旅旅长）","寿光人。1938年以抗日为名组织武装，后勾结日伪。民谣《半夜怨》历数其八大罪状：杀人放火（邢家茅坨惨案杀70余人）、奸淫抢掠、绑架勒索、给日军送飞机送伪钞、用铜元牛皮换日军弹药汽车等[reference:29]。1944年冬将日军坠机交给日军[reference:30]","1948年潍县战役后逃往济南，后去台湾[reference:31]"
"伪军头目","寿光","杨香坡","伪寿光八区区长兼日军翻译","寿光孙家庄人，青年时闯朝鲜学会日语。七七事变后投靠日军，任侯镇据点翻译，后任南河据点八区伪区长兼翻译。向群众三日催粮五日要款，以组织“新民队”为名勒索百姓[reference:32]。1940年9月用旗语指挥日军绕过八路军伏击圈[reference:33]","1940年11月被八区除奸小组用斧头劈死[reference:34]"
"伪军头目","寿光","张保良","伪寿光八区伪区署人员","与杨香坡一同在南河伪区署为日军效力","1940年11月被八区除奸小组重伤[reference:35]"
"伪军头目","寿光","桑占武","土匪恶霸（汉奸）","寿光城西桑家营子人，自幼吃喝嫖赌不务正业。七七事变前即横行乡里，抗战期间沦为汉奸[reference:36]","被县委特务中队铲除[reference:37]"
