"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪政权头目","峄县","刘玉山（刘晓峰）","枣庄维持会会长","青帮小头目。1938年日军侵占枣庄后，第一个打起欢迎旗，出任枣庄维持会会长[reference:0]。利用其鑫大面粉厂为日军收购粮食，解决日军军粮问题[reference:1]","待考"
"伪政权头目","峄县","王徽文","伪峄县县长","峄县伪县长，带领伪军配合日军扫荡，是峄县日伪政权核心人物[reference:2][reference:3]","待考"
"伪政权头目","峄县","石振九","伪峄县县长（后期）","峄县末任伪县长。1945年9月7日山东野战军八师解放峄县时被生俘[reference:4][reference:5]","被俘"
"伪政权头目","滕县","申宪武","伪保安二师师长","滕县地区危害最大的伪军头目。以滕县西后闫村为巢穴，配合日军镇压抗日力量[reference:6]。1939年八路军一一五师挺进鲁南后，其主力刘广田、王振东、朱石英、刘宇华等部被先后消灭[reference:7]","待考"
"伪政权头目","滕县","史鹤亭","伪保二师稽查队长","滕县恶贯满盈的汉奸恶霸。在敌寇卵翼下任意残害人民，杀害青年17人，强占民女32人。用搜刮得来的民财买地百余顷，建宅四处，民愤极大[reference:8][reference:9]","1946年3月22日滕县解放后被公审，由滕县公安局宣读罪状后立即执行枪决[reference:10]"
"伪军头目（最大汉奸）","峄县（税郭）","王继美（王瑞庭）","伪宪兵队特务大队队长→峄东剿共司令→国民党32纵队司令","枣庄一带最知名的大汉奸[reference:11]。1919年生，郭里集前小湾人[reference:12]。1941年1月带全排28人携枪投降日军[reference:13]，被编入杨贵岭部，任峄县第三警备大队第三中队长兼税郭乡伪乡长[reference:14][reference:15]。后任伪宪兵队特务大队队长、“峄东剿共司令”[reference:16][reference:17]。残害抗日干部、战士及无辜百姓数百人[reference:18]。1944年制造“官地惨案”，偷袭鲁南军区警九旅十七团，致70余人牺牲、70余人被捕[reference:19]。日本投降后拒绝向八路军缴械，被国民党收编为“山东挺进军三十二纵队少将司令”[reference:20][reference:21]。1946年6月枣庄首次解放时被击毙[reference:22][reference:23]","1946年6月9日在枣庄被山东野战军击毙[reference:24]"
"伪军头目","峄县","杨桂岭（杨贵岭）","伪峄县警备大队头目","郭里集人。王继美投降后拜其为干爹[reference:25]。与王继美共同制造“官地惨案”[reference:26][reference:27]","待考"
"伪军头目","峄县（涧头集）","龙希贞（龙瓜屋子）","运河支队第三大队大队长（叛变前）→伪军头目","1903年生，台儿庄区马兰屯乡龙口村人[reference:28][reference:29]。1940年春率部参加八路军，被编入运河支队第三大队任大队长[reference:30][reference:31]。同年10月叛变投敌，充当汉奸[reference:32][reference:33]。配合日军镇压抗日军民[reference:34]","1945年9月7日被八路军生俘[reference:35][reference:36]，10月15日被枪决[reference:37][reference:38]"
"伪军头目","峄县（韩庄）","张来余","韩庄日伪警备大队大队长","韩庄日伪警备大队长，盘踞韩庄、曹庄、古邵一带[reference:39]。与日军勾结进行“剿共”和情报搜集[reference:40]。其部下中队长有褚思杰、孙茂山、徐保友、孙茂墀、张来勋等[reference:41]","待考"
"伪军头目","峄县（韩庄）","张来勋","韩庄日伪警备大队中队长","张来余之弟，任韩庄警备大队中队长[reference:42][reference:43]","待考"
