"地区","姓名","职务/身份","主要罪行","结局"
"湘潭县","曾奎甫","湘潭伪维持会会长（1944年8月）→伪湘潭县县长（1945年6月）","1944年8月充任湘潭伪维持会会长，1945年6月伪维持会改称伪湘潭县政府后继任伪县长[reference:1][reference:2]。主要罪行为“发行《大亚报》为敌宣传”[reference:3]。","被湖南高等法院以汉奸罪判处有期徒刑八年、褫夺公权十年并没收财产[reference:4]"
"湘潭县","刘常仙","伪湘潭县警察局长","1945年6月伪湘潭县政府成立后任伪警察局长[reference:5][reference:6]，为日伪政权维持治安、镇压抗日力量","待考"
"湘潭县花萼乡（今马家堰）","唐金棠","花萼乡维持会会长","向湖南人民抗敌义勇军湘潭支队第七大队大队长马飞龙提供日军即将到马家堰掳掠的情报[reference:7]（虽提供情报，但系汉奸身份）","待考"
"湘潭县","（佚名汉奸）","告密汉奸","1945年3月8日，向日军告密致段明涵等人在长壕基易家老屋开会时被围捕，次日被日寇杀害[reference:8]","待考"
"湘潭县","（佚名汉奸）","告密汉奸","因汉奸告密，湘潭抗日游击队驻地遭驻梅林巷的百余名日军深夜偷袭包围，罗金生、段明汉等8名队员受伤被俘[reference:9]","待考"
"湘潭县","（佚名汉奸）","告密汉奸","1944年底至1945年初，向日军告密致使抗日自卫团队长谢礼谦被抓[reference:10]","待考"
"湘乡县","江伯苏","湘乡县维持会会长","1944年6月21日湘乡县城沦陷后[reference:11]，被日军抓获后被迫选择当维持会会长[reference:12]","日本投降后成了汉奸，但因当时处决的主要是高中层特大汉奸，江伯苏未被清算[reference:13][reference:14]"
"湘乡县","刘汉良","汉奸","日本侵略军进犯湘乡期间，充当汉奸、走狗，四出骚扰百姓[reference:15]","1944年10月11日，娄底召开军民大会将其处决[reference:16]"
"湘乡县","（佚名汉奸）","汉奸密探","湘乡自卫团第六联乡大队队员沈绍在战斗中腿部负伤在家养伤，被汉奸密探得知后报告日军，当夜遭日军夜袭队抓捕[reference:17]","待考"
"湘潭/湘乡","吴声镐","国民党湘潭县县长（战后）","湘潭县继述桥铁江坝人[reference:18]。1949年7月25日自任县长，宣布解散自救委员会[reference:19]。抗战时期虽未直接任伪职，但战后拒交政权","待考"
