"地区","姓名","职务","主要罪行","结局"
"鄂城（今鄂州）","杨缵绪（杨鑚绪）","伪武昌治安维持会会长","湖北鄂城人，清帮头子。1938年10月任伪武昌治安维持会会长，后成立“清帮华中总会”和“安清漕运团”，为日军运输军用物资，是鄂城籍投敌级别最高的汉奸之一","抗战胜利后以汉奸罪被捕；1956年9月19日在汉口病逝[reference:0][reference:1]"
"鄂城葛店镇","胡秋保（胡秋宝/胡“烂药”）","日伪保安队班长","葛店镇魏家咀人，土匪出身。1938年鄂城沦陷后投敌，任日寇驻葛店镇警备队保安队班长，多次告密致使共产党人和革命同志惨遭毒手，百姓称其“烂药”[reference:2][reference:3]","1942年春被葛华区委锄奸小组用斧头砍死[reference:4][reference:5][reference:6]"
"鄂城华南乡","姜封远","华南乡汉奸","向日军出卖情报，酿成“血战鸭儿湖”一案，致使新四军独立五团三营遭日伪伏击受重创[reference:7][reference:8]","1941年8月被樊湖抗日民主政府判处死刑，绑上石头沉入毛湖[reference:9]"
"鄂城华南乡","姜堂生","华南乡汉奸","与姜封远一同向日军出卖情报[reference:10][reference:11]","与姜封远一同被处决，沉入毛湖[reference:12]"
"鄂城华南乡","杨树南","华南乡汉奸","与姜封远一同向日军出卖情报[reference:13][reference:14]","与姜封远一同被处决，沉入毛湖[reference:15]"
"鄂城华容镇","姜辉煌","廖义华部中队长","长期与华容据点日军勾结，迫害革命群众，到华容为廖部征税筹款，剥削压迫商民[reference:16][reference:17]","1943年11月被樊湖工委锄奸小组击毙于华容夏记酒馆[reference:18]"
"鄂城樊口","董汉生","大汉奸","得驻守樊口据点的日军大佐狄村青睐，大肆鱼肉群众，杀害抗日骨干[reference:19][reference:20]","1942年秋在樊口戏院被胡伯才率游击队员用刺刀击毙[reference:21]"
"鄂城华容镇","姜姓汉奸","华容街汉奸（侦缉队）","华容街上的汉奸侦缉队成员，欺压百姓，为日军搜集情报[reference:22][reference:23]","1939年10月被秦俊明率领游击队员除掉[reference:24][reference:25]"
"鄂城/大冶/咸宁交界","成渠","抗日挺进第四纵队司令→汉奸","大冶、鄂城、咸宁三县交界地方武装头目，曾带兵攻打日军，击毙日军500余人。但在抗战胜利前夕倒戈投敌，成为汉奸[reference:26]","1945年8月8日被日军诱捕，关押后处死"
"金牛镇（原属鄂城）","柯有吉","金牛镇维持会会长","盘踞金牛镇的日伪维持会会长，带领日伪军到涂家垴打掳，为虎作伥[reference:29]","在徐家桥之战中被击毙，中弹后溺毙于水中[reference:30]"
"鄂城","（佚名汉奸）","告密汉奸","1941年7月6日向日军告密中共鄂南中心县委夏家榜紧急会议，致使中心县委干部黄全德、新四军鄂南独立第五团团长王甦等18名干部战士被俘后牺牲，史称“夏家榜惨案”[reference:31][reference:32]","待考"
"鄂城泽林镇","（佚名汉奸）","告密汉奸","1942年9月16日向日军告密，致使大山寺程姓祠堂被日军烧毁，寺湾湖9位村民被枪杀[reference:33][reference:34]","待考"
