"地区","姓名","职务","主要罪行","结局"
"咸宁县（今咸安区）","徐达卿","咸宁县维持会会长","1939年1月初，日军扶持、利用汉奸组建咸宁县维持会，徐达卿任会长，为日军维持殖民统治[reference:3]","待考"
"咸宁县（今咸安区）","王仲箎","伪咸宁县政府秘书科长→全县伪消费合作社长","咸宁人，原为无业游民。咸宁沦陷时甘心附逆，颇得日军欢心。1940年咸宁成立伪政府时一跃任秘书科长，后任全县伪消费合作社长。与日军共同策划划分乡保、委派伪职、确立税捐、供应军需、倾销鸦片等，贱价或无偿收集地方特产换取鸦片、食盐、布匹自肥，横行霸道，稍有不满即遭杀害[reference:4]","日本投降后逃匿上海、南京；1948年2月来汉口，在肥皂厂当账房被人告密，6月7日被咸宁县政府和汉口警方捕获[reference:5]"
"咸宁县（今咸安区）","黄子英","柏墩维持会会长","担任具有汉奸性质的维持会长，但具有强烈的爱国思想，暗中参与抗日。1942年9月，曾秘密将患病的咸崇蒲中心县委书记罗通接到自己家中养病，请当地中医为其治疗[reference:6]","待考（因暗中抗日，与一般铁杆汉奸有区别）"
"咸宁县（今咸安区）","钱某（姓名不详）","汉奸（告密者）","1939年5月24日，向驻马桥日军密报中田畈有中国兵，40余名日军赶到中田畈，见人就开枪射击，有的被刺刀捅死，有的用石磙碾死，其他人被捆于禾场上用火烧死。此次血案18户被杀绝，72人惨死，195间房屋被烧毁[reference:7]","待考"
"咸宁县（今咸安区）","钱某（姓名不详）","汉奸","1939年6月3日在朱桥索贿未遂[reference:8]","待考"
"咸宁县（今咸安区）","徐臣焰","汉奸（混入革命队伍）","混入革命队伍内的汉奸。1942年8月暗害中共咸宁县委书记徐宏义[reference:9][reference:10]","待考"
"咸宁县（今咸安区）","余忠汉","汉奸（充任伪职）","湖北高等法院、咸宁县司法处曾办理其充任伪职案[reference:11]","待考"
"咸宁县（今咸安区）","余建华","汉奸（充任伪职）","湖北高等法院曾办理其充任伪职案[reference:12]","待考"
"通城县","吴竹林","通城自治会（维持会）会长","通城水口乡人，读过书，做过裁缝。死心塌地的汉奸，为报答日军扶植，四处宣扬日军“安民”政策，强迫百姓交银洋领“良民证”，向百姓摊派各种物资作为日军军事供给，组织巡逻队四处打探，帮助日军提防抗日武装袭扰[reference:13]","待考（当地百姓对其深恶痛绝，编有顺口溜：“会长吴竹林，做过裁缝淘过金，办出事来拐煞人”）[reference:14]"
"通城县","（佚名汉奸）","汉奸（带路者）","1938年11月日军从崇阳向通城进攻时，有汉奸为日军带路[reference:15]","待考"
"崇阳县","李经邦","崇阳籍汉奸（带路者）","日军在小岭受阻后，分兵一部由崇阳籍汉奸李经邦带领，意图绕山路转由崇阳金沙从荫塘岭下崇阳白霓龙泉驿[reference:16]","待考"
"崇阳县","李怡芳","汉奸（告密者）","1944年下半年，向日军告密抗日侦察老兵黎会员的行踪，晚上带30多个日本鬼子来捉拿他[reference:17]","待考"
"崇阳县","龚爕南","汉奸","湖北高等法院检察处、崇阳县司法处曾办理其汉奸案[reference:18]","待考"
"崇阳县","余木生","汉奸","湖北高等法院检察处、崇阳县司法处曾办理其汉奸案[reference:19]","待考"
"崇阳县","包光焰","国民党崇阳县县长（投敌）","国民党崇阳县县长，抗战期间投靠日伪。在白鹤石灰坳与鄂南抗日挺进队相遇，被活捉[reference:20]","被鄂南抗日挺进队活捉并处决[reference:21]"
"崇阳县","周步武","国民党崇阳县自卫团团长（投敌）","与包光焰一同被鄂南抗日挺进队活捉[reference:22]","被鄂南抗日挺进队活捉并处决[reference:23]"
"蒲圻县（今赤壁市）","李保烈","汉奸（通敌）","湖北高等法院、蒲圻县政府曾办理其通敌案[reference:24]","待考"
"蒲圻县（今赤壁市）","魏新民","汉奸（告密者）","1942年为讨好日军，谎称洪山、昆山、三旗港等地是“游匪”聚集区，怂恿驻蒲圻日军第6师团展开大规模扫荡，制造了“洪山惨案”[reference:25]","待考"
"蒲圻县（今赤壁市）","李永寿","汉奸（告密者）","与魏新民一同谎报军情，怂恿日军扫荡洪山地区[reference:26]","待考"
"蒲圻县（今赤壁市）","黄玉洁","伪皇协和平救国军第2师（和2师）头目","1943年春末夏初，率投靠日寇的汉奸队伍进入蒲圻西部地区，自称皇协和平救国军第2师[reference:27]","待考"
"蒲圻县（今赤壁市）","（佚名）","汪伪“和平救国军第3师”（和三师）","盘踞蒲圻的汪伪汉奸部队，原为国民党军第九战区部队，后投敌当了汉奸，鱼肉百姓，在蒲圻遗臭万年[reference:28][reference:29]","待考"
"通山县","夏之日","汪伪通山县县长","汪伪通山县长，兼任自卫大队大队长，手下有人马两百枪[reference:30]","待考"
"通山县","朱明","汉奸","最高法院、湖北高等法院、通山县司法处曾办理其汉奸案[reference:31]","待考"
"通山县","徐永泰","汉奸","仅被判刑，其余汉奸被保释放[reference:32]","被判刑"
"嘉鱼县","徐玉田","汉奸","湖北高等法院检察处、嘉鱼县政府曾办理其汉奸案[reference:33]","待考"
"嘉鱼县","熊彪","伪军头目","伪军头目，其情报组组长李全富和汉奸保长王维一等人被粤汉支队镇压[reference:34]","待考"
"嘉鱼县","李全富","伪熊彪部情报组组长","为日伪搜集情报，助纣为虐[reference:35]","被粤汉支队镇压[reference:36]"
"嘉鱼县","王维一","汉奸保长","为日伪效劳的汉奸保长[reference:37]","被粤汉支队镇压[reference:38]"
"咸宁地区","周振武","鄂南和平反共清剿军（伪军）头目","率伪“鄂南和平反共清剿军”在鄂南地区活动，配合日军清剿抗日武装[reference:39]","待考"
"咸宁地区","柯老五","贺胜桥维持会会长","土匪出身。1939年5月贺胜桥日伪政权建立后任维持会会长，无恶不作[reference:40]","待考"
