"地区","姓名","职务","主要罪行","结局"
"漯河地区（临颍县/襄城县）","刘万昌","临颍县县长（汉奸）","抗战时期任临颍县县长。向第五战区谎报“一战区投降了”，第五战区未加核实即以机枪扫射，致使第一战区部队腹背受敌、伤亡惨重","后经两区沟通核实为汉奸挑拨离间，两区人员在茶楼将其抓获，刘万昌供认不讳，当场被枪决[reference:2][reference:3]"
"郾城县","黄锦章","郾城县商会会长","勾结叛徒向日伪告密，诬陷抗日人士李鼎新为“土匪”，致使其被日伪抓捕定罪","待考[reference:4]"
"郾城县","杜三","汉奸（郾城县杜庄人）","1945年农历正月初二，联络其他汉奸及日本侵略军近千人马，分别从舞阳、襄县、西平、郾城同时出动，包围新四军第五师一支队第八团指挥中心蔡庄，抓捕抗日干部家属","1945年3月被蔡永令率部活捉，毙于半坡朱北沟[reference:5][reference:6]"
"郾城县/漯河","于清泉","皇协军（汉奸组织）司令","率部200余人踞于牛寨，司令部设在牛文全楼上，向当地人要粮、提枪、掠夺、奸淫，无恶不作","1944年12月16日被蔡永令率部夜袭，其参谋长岳建亭等5人被击毙，于清泉本人被生俘[reference:7]"
"郾城县/漯河","岳建亭","皇协军司令部参谋长","于清泉部参谋长，在牛寨据点助纣为虐","1944年12月16日被蔡永令部夜袭时击毙[reference:8]"
"郾城县","牛文全","汉奸","为皇协军于清泉部提供司令部住所（牛寨牛文全楼上），配合汉奸武装作恶","待考[reference:9]"
"舞阳县","史聘侯（石品侯/外号“石猴子”）","国民党舞阳县保安大队大队长→河南皇协军独立游击大队大队长","1944年舞阳沦陷后，盘踞母猪峡一带占山为王，打家劫舍，祸害百姓[reference:10][reference:11]。日军打通平汉线后投靠日军当汉奸，被委任为河南皇协军独立游击大队大队长，手下约800人[reference:12][reference:13]。这支伪军同时接受日、蒋两方面给养，横行无忌[reference:14]","1945年2月，新四军五师河南挺进兵团在母猪峡组织战斗，一举扫除史聘侯部[reference:15][reference:16]"
"舞阳县","尚振华","汉奸","1945年2月新四军围歼史聘侯部后，调集舞阳北舞渡皇协军2000余人，驻扎到尹集镇周围10个村，企图围困新四军","待考[reference:17]"
"舞阳县","胡灿宇","汉奸武装指挥官","国民党舞阳县党部、县政府主要头目窜回县城后，网罗汉奸武装，成立以胡灿宇任指挥官的军事指挥部，组建清乡队，以“清剿亲日分子”为名，大肆屠杀中共党员和进步乡绅","待考[reference:18][reference:19]"
"舞阳县","杨本正","汉奸（八台人）","为日军充当密探，经常潜回八台游击纵队活动区刺探情报，出卖抗日武装","被游击队捕杀[reference:20]"
"临颍县","（佚名）","临颍维持会成员","1944年5月2日临颍沦陷后，日军即建立军政部和维持会。日伪在临颍共打死农民2350人，逼死12333人；奸淫妇女2139人，致死80人","待考[reference:21]"
"郾城/漯河","（佚名）","日伪汉奸机构成员","漯河沦陷后，一些丧失民族气节的人向日军屈膝，成立了日伪汉奸机构维持会、特务情报队和伪警察局，帮助日军镇压人民[reference:22]。伪军河南绥靖军司令寇英杰派军长邱三宁来漯河抢占地盘、扩充势力[reference:23]","待考"
