"地区","姓名","职务/身份","主要罪行","结局"
"邵阳县","王国英","邵阳县维持会会长","老邵阳县北乡小水庙人，中央政校毕业，曾任国军第16师政治部主任等职。邵阳沦陷后被日寇任命为邵阳县维持会会长，协同日寇强迫城内未逃出的居民开“军民联欢会”，举行维持会正、副会长就职典礼[reference:1][reference:2]。组织无赖之徒十余人充当维持会职员，下设宣传、民生、复兴、民政、建设、财务六科及警察局[reference:3][reference:4]。借筹措办公费之名，派人深入城内各大商店和殷实人家掘地三尺挖掘金银财宝，抢夺粮食、猪、牛、羊等送给日寇[reference:5][reference:6]","1945年8月16日，国民革命军74军副师长杨明率部进入邵阳城，当晚即逮捕王国英及其同伙[reference:7][reference:8]。王国英不久被判处死刑，执行枪决[reference:9][reference:10]"
"邵阳县屏藩乡","唐九如","屏藩乡维持会会长","邵阳县原屏藩乡维持会会长，与日军一道杀害放火、欺凌同胞[reference:11][reference:12]","1944年邵阳沦陷后，被黄荆岭一带游击队铲除[reference:13][reference:14]"
"邵阳县屏藩乡","银文明","屏藩乡维持会联络员","屏藩乡维持会联络员，为日军刺探情报、引路服务[reference:15][reference:16]","1944年邵阳沦陷后，被黄荆岭一带游击队铲除[reference:17][reference:18]"
"邵阳地区","王某某（佚名）","日军情报官（原中央军士兵）","原为中央军士兵，后被俘变节，充任日军情报官，化装刺探我方军情，情节严重[reference:19]","被判处死刑[reference:20]"
"邵阳地区","曹某某（佚名）","日军情报官（原中央军士兵）","原为中央军士兵，后被俘变节，充任日军情报官，化装刺探我方军情，情节严重[reference:21]","被判处死刑[reference:22]"
"邵阳县义胜乡","朱某某（佚名）","义胜乡维持会长","积极为日军征粮筹款，共计粮食2600石、伪储币15000元[reference:23]","被判处刑罚（具体刑期待考）[reference:24]"
"邵阳县黑田铺洪桥","（佚名）","洪桥维持会成员","随日军之夫系黑田铺洪桥维持会所派，其搜括之伎俩较敌尤加倍[reference:25]","待考"
"邵东/新邵一带","（佚名汉奸2名）","汉奸（带路者）","为新邵太子庙一带日军小分队带路[reference:26]","被抗日游击队打死[reference:27]"
"隆回县","（佚名汉奸）","汉奸（带路者）","1945年4至5月间，带领一股日军沿山道分两路经隆回魏家塅上溆浦[reference:28]","待考"
"洞口县","（佚名汉奸）","汉奸（信号员）","躲在山顶为日军飞机发信号枪指引投弹目标[reference:29]","被抗日军民捉获[reference:30]"
