"地区","姓名","职务","主要罪行","结局"
"黄冈县","罗荣衮","伪黄冈县长","新洲县（今属武汉市新洲区，原属黄冈）宝店村竹林湾人。1940年2月追随汪伪湖北省长何佩瑢，出任伪黄冈县长[reference:0]","1948年死于黄州拘留所[reference:1]"
"黄冈县","张彦明","伪黄冈县长（后期）","日伪黄冈县长。抗战胜利后率地方武装活动于黄冈但店一带，不时流窜浠水黄泥咀、汪家岗一带[reference:2]","待考"
"蕲春县","黄楚楠（黄州人）","伪蕲春县长","黄州人。汪伪“湖北省长”杨揆一任命其为伪蕲春县长[reference:3]","待考"
"蕲春县茅山","王之龙","茅山维持会会长（首任）","黄柏城王海户族无赖、地痞，当了一年多会长后被“改选”掉[reference:4]","解放后土改时被镇压[reference:5]"
"蕲春县茅山","王新哉","茅山维持会会长（第二任）","蕲州人，日军投降后买通国民党军队跟随逃走[reference:6]","日军投降后随国民党军队离开，杳无音信[reference:7]"
"蕲春县茅山","邵得俭","茅山维持会“农产公司”负责人","茅山邵家湖尾塆人，浪子出身。负责“茅山农产公司”，干尽坏事[reference:8]","1943年冬被人暗杀[reference:9]"
"蕲春县茅山","王本兴","茅山维持会会员","茅山陈四房塆人，道士出身，游手好闲靠装神弄鬼过日子[reference:10]","日军投降后投靠国民党军队，杳无音讯[reference:11]"
"蕲春县茅山","何中杰","茅山维持会保安队长","茅山港口人，浪子出身[reference:12]","解放后土改时被镇压[reference:13]"
"蕲春县茅山","孙继尔","茅山维持会警察所警长","原在国民党县政府保安团当兵，日寇进犯蕲州后逃回茅山，被日军翻译官拉拢投靠日本人。亲自把日军通知送到各保长家[reference:14]","日军投降后投靠国民党军队，后杳无音讯[reference:15]"
"蕲春县茅山","叶甲湖","茅山维持会“合作社”负责人","茅山喇叭湖口人，在维持会中“负责”商品合作社[reference:16]","曾多次帮新四军弄到西药和食盐，解放后得以善终[reference:17]"
"蕲春县","袁殊","汪伪特务/情报人员（多重身份）","蕲春人。中共特工，同时为汪伪政权、国民党军统及日本方面服务，在汪伪政权中担任过伪宣传部副部长等职","抗战胜利后脱离汪伪，后因"潘汉年案"受牵连入狱"
"黄梅县","石菊梅","女汉奸","为驻濯港日军头目水生少尉搜集武工队情报，是黄宿边城南区一带的女汉奸[reference:18]","被武工队锄奸[reference:19]"
"黄梅县","任金水","伪侦缉队队长","黄梅日伪政府成立时任伪侦缉队队长，是当地汉奸顽固派头目[reference:20][reference:21]","待考"
"黄梅县","聂三钢","伪侦缉队第三分队副队长","倚仗日寇势力，巴结任金水，专横跋扈，无恶不作[reference:22]","待考"
"黄梅县","韩鸿生","汉奸顽固派","黄梅县汉奸顽固派头目之一[reference:23]","被抗日武装坚决打击镇压[reference:24]"
"黄梅县","（佚名汉奸）","汉奸（告密者）","向日军告密致使新四军情报人员被捕","待考"
"麻城县","朱甲卿","伪麻城县长","伪麻城县长，后被抗日力量争取过来为革命做了一些好事[reference:25]","被日军杀害[reference:26]"
"麻城县","朱步瀛","伪麻城保安大队长","伪麻城保安大队长，后被争取[reference:27]","逃跑[reference:28]"
"麻城县","陈良汉","猪行老板（被争取者）","麻城很有影响的猪行老板，被抗日力量争取为我方工作[reference:29]","待考"
"浠水县","王瑞","汉奸","浠水县洗马镇小金山村人。1941年7月17日下午在洗马镇通往三角山土路上活动，被新四军侦察员认出[reference:30][reference:31]","被新四军锄奸"
"浠水县","陈皓","汉奸","浠水县洗马镇小金山村人，与王瑞一同活动[reference:32]","被新四军锄奸"
"浠水县","（佚名伪县长）","日伪浠水县长","1938年日军进入浠水后设立日伪浠水县政府[reference:33]","1945年日本投降后撤销[reference:34]"
"广济县（今武穴）","田洪桥","伪保安队长","武穴团山哨所伪保安队长，经常向附近村庄派粮索款、勒取禽畜[reference:35]","被抗日武装击毙[reference:36]"
"广济县（今武穴）","张驮罗","伪军哨兵","武穴团山哨所伪军哨兵[reference:37]","被抗日武装击毙[reference:38]"
"广济县（今武穴）","张锦先","伪保安队员","武穴团山哨所伪保安队员[reference:39]","被抗日武装活捉[reference:40]"
"红安县（黄安）","（佚名汉奸）","汉奸","红安（原黄安）一带汉奸，配合日军对根据地实行"扫荡"","待考"
"英山县","（16名汉奸）","汉奸","从立煌、霍山、浠水、罗田等地聚集到英山的汉奸卖国贼，被中共干群一网打尽[reference:41]","被一网打尽[reference:42]"
"罗田县","（佚名汉奸）","汉奸","罗田一带汉奸，配合日军活动","待考"
"鄂东地区（黄冈籍省级汉奸）","石星川","伪汉口市市长、伪湖北参议府副参议长","黄州府兴国军（今阳新县，旧属黄州府）人。抗战期间投敌，与何佩瑢、张仁蠡、雷寿荣并称湖北"四大汉奸"[reference:44][reference:45]","1945年日本投降后以汉奸罪被捕[reference:46]，1948年死于狱中"
"鄂东地区（黄冈籍省级汉奸）","杨揆一","伪湖北省政府主席兼保安司令","祖籍湖北鹤峰，生于武昌[reference:48]。1942年任伪湖北省政府主席兼保安司令[reference:49]","1946年春在南京雨花台以汉奸罪被处决[reference:50]"
"鄂东地区","黄标","伪峰口镇维持会长、伪自警团长、伪清剿大队长","洪湖峰口镇人（原属沔阳）。表面为日伪服务，实际系中共特别党员，受李先念指派打入日寇内部做情报工作[reference:51][reference:52]","抗战胜利后被误解为汉奸，后获平反"
