"地区","姓名","职务","主要罪行","结局"
"孝感县（肖家港）","曹麻子","汉奸（催收马料）","1938年孝感沦陷后沦为汉奸。同年5月到肖家港催收军用马料，欺压百姓，民愤极大","被向树元发动群众痛打一顿，绑吊在柳城庙[reference:3][reference:4]"
"孝感县","朱绍如","伪孝感县县长","配合日寇进攻，常派伪军领着鬼子到汉孝陂根据地“清乡”“扫荡”，群众对其恨之入骨[reference:5]","待考"
"孝感县","朱霞","肖港日伪区长","向树元出狱后欲聘其为秘书，遭向树元当面斥责[reference:6]","待考"
"孝感县","朱寿陔","日伪区长","孝感人，曾任日伪区长，抗战胜利后被捕入狱[reference:7]","被捕入狱"
"孝感县","杨希超","伪军头目","1938年12月率部下乡抢劫，以向树元私藏枪支为由抓走其怀孕妻子和患病老母作人质[reference:8]","待考"
"孝感县","王寿坤","伪军搜索队长（杨希超部）","杨希超伪军搜索队长，助纣为虐","1939年5月被湖北省抗日游击大队活捉[reference:9]"
"孝感县","池盖雄","伪军搜索队长（杨希超部）","杨希超伪军搜索队长，助纣为虐","1939年5月被湖北省抗日游击大队活捉[reference:10]"
"孝感县","卢满喜","汉奸","1942年5月在孝感县小河镇尾追新四军战士陶林，为其通风报信[reference:11]","待考"
"孝感花园镇","陈小汉","铁杆汉奸","深得日本驻军宠爱，为虎作伥。1943年正月十三日在松林湾毒打一名老大娘，逼问其子是否参加新四军[reference:12][reference:13]","1943年被新四军五师锄奸队副队长丁庆江活捉[reference:14]"
"孝感花园镇","（佚名伪军）","伪军（3名）","1943年正月十三日跟随陈小汉在松林湾抢劫百姓财物[reference:15]","被丁庆江等锄奸队员打翻在地[reference:16]"
"孝感杜涂垸","赵光荣","伪八军师长","盘踞孝感杜涂垸一带的伪军头目","被新四军第六大队和第五大队联合作战俘其旅长以下200余人[reference:17]"
"应城县","郭仁泰（郭老八）","伪鄂西保安副司令","原“应抗”一支队汉留武装头目。1939年2月叛变投敌，被日军委任为伪鄂西保安副司令，盘踞应城矿区和陈家河湖区，发展到千余人枪[reference:18]","后被争取反正（具体结局待考）"
"应城县","周明钦","伪县长","原为共产党员，后沦为汉奸伪县长[reference:19]","待考"
"应城县","（佚名汉奸）","汉奸（信号员）","1938年10月27日应城遭日机轰炸时，城内汉奸打信号为日机指引目标，致使轰炸异常精准[reference:20]","待考"
"安陆县","王舜卿","伪安陆县县长","安陆伪县长，对抗日态度恶劣。巡店伪区长帅干伯被杀后急得如热锅上的蚂蚁[reference:21]","待考"
"安陆县","帅干伯","巡店伪区长","态度恶劣，日伪军都听其唆使，欺压百姓","被抗日武装处决[reference:22]"
"安陆县","谢指梁","巡店伪军大队长","驻巡店的伪军大队长，助纣为虐[reference:23]","待考"
"安陆县","王太保","安陆县府城联保主任兼保安大队长","极力巴结日军大队长，为虎作伥，欺压百姓[reference:24]","待考"
"安陆县","陈仁杰","汉奸（告密者）","1940年9月向驻应城日伪军告密，导致柏树黄塆新四军被服厂遭日伪军包围偷袭，制造了大屠杀[reference:25]","待考"
"安陆县","杨志茂","兵痞（告密者）","与陈仁杰一同告密，导致柏树黄塆惨案发生[reference:26]","待考"
"安陆县","丁启国","汉奸（带路者）","暗地里当了汉奸，为日伪带路抓捕抗日女英雄杨威[reference:27]","待考"
"云梦县","吴锡卿","伪云梦县县长","云梦伪县长，曾亲自劝降被俘的抗日女战士舒赛[reference:28]","待考"
"云梦县","（佚名）","汉奸","云梦县一男子认贼作父当汉奸，其妻龚华名无法容忍，愤然离家走上革命道路[reference:29][reference:30]","待考"
"汉川县","刘慕庄","汉奸","汉川县汉奸，湖北高等法院曾就其汉奸案发布训令[reference:31]","待考"
"大悟县","王至礼","镇公所所长（被迫当汉奸）","1941年被日本占领军强迫成为汉奸，任镇公所所长[reference:32]","待考"
"大悟县","甘元景","伪保长（身份特殊）","1950年被当作“伪保长”逮捕，临刑前大喊“我当过红军的师政委”，经查实系鄂豫皖边区早期党员，曾借敌伪身份保护地下党[reference:33]","被释放[reference:34]"
"孝感地区","李宝琏","伪陆军第13军军长","伪军军长，军部驻应山县，所部第11师分驻孝感、汉川、天门、潜江等地[reference:35]","待考"
"孝感地区","（佚名汉奸）","汉奸（告密者）","向日军告密新四军五师主力集中大悟山冬季整训的情报，致使日军发动大规模扫荡[reference:36]","待考"
