"类别","地区","姓名","职务/身份","主要罪行","结局"
"首恶汉奸","广饶县（今东营区）","成建基","伪山东省保安十六旅三团团长、垦利县保安大队长","字立堂，绰号野马[reference:1]。1941年6月投靠日军，盘踞三里庄据点[reference:2]。先后杀害党员干部、八路军及群众300余人[reference:3]。1943年公然与日伪合流[reference:4]。1945年制造博兴“五二一”惨案，致180余人牺牲[reference:5]","1948年5月在昌乐解放时重伤自杀[reference:6][reference:7]"
"首恶汉奸","冀鲁边/鲁北","刘佩忱（刘佩臣）","伪“皇协护民军”总司令、伪武定道尹","回族，沧县人[reference:8]。早年投靠大汉奸殷汝耕[reference:9]。在津南、鲁北组织伪军，疯狂屠杀抗日军民[reference:10]。成建基投靠日军后曾投其麾下[reference:11]","抗战胜利后结局待考"
"伪军头目","广饶/临淄","李青山","汉奸队头目","盘踞广南地区的汉奸头目[reference:12]。参与何思源组织的“剿共联军”，勾结日伪进攻抗日根据地[reference:13]","待考"
"伪军头目","广北","陈瑞水","汉奸队头目","盘踞广北地区的汉奸头目[reference:14]。成建基被消灭后，其残余势力仍与陈瑞水部勾结为害[reference:15]","待考"
"伪军头目","广饶/博兴","周胜芳","“剿共联军”头目","国民党顽固派头目，勾结日伪组织“剿共联军”，参与制造博兴“五二一”惨案[reference:16][reference:17]","待考"
"伪军头目","广饶/寿光","张景月","保安十五旅旅长","国民党顽固派头目，勾结日伪进攻八路军[reference:18][reference:19]","待考"
"伪军头目","广饶","傅象坤","“剿共联军”头目","参与何思源组织的“剿共联军”，配合日伪进攻抗日根据地[reference:20]","待考"
"伪军头目","广饶","徐振中","“剿共联军”头目","参与何思源组织的“剿共联军”，配合日伪进攻抗日根据地[reference:21]","待考"
"伪军头目","广饶","李寰秋","“广饶抗日自卫团”收编者","曾收编成建基部为“广饶抗日自卫团”第五大队[reference:22]。后沦为国民党顽固派[reference:23]","待考"
"伪军头目","利津","苏冀南","伪华北绥靖军第八集团军第二十七团团长","盘踞利津城的伪军主力团长，所部由日军精心培训，号称“中国皇军”[reference:24][reference:25]","1944年利津战役中率残部逃回县城[reference:26]"
"伪军头目","利津","翁某","伪华北绥靖军第二十七团汉奸队长","1944年利津战役中用枪逼迫伪军抵抗[reference:27][reference:28]","被有投诚意向的副队长刘某某从背后击毙[reference:29]"
"伪军头目","利津","庞洪兴","伪华北绥靖军第二十七团副团长","1944年8月率援军增援张许据点[reference:30]","被八路军活捉[reference:31]"
"伪军头目","广饶","孔庆轩（孔大麻子）","广饶孟集据点伪军中队长","盘踞广饶县四区孟集据点的铁杆汉奸[reference:32]。据点结构坚固，工事复杂[reference:33]","待考（1944年孟集据点被智取）[reference:34]"
"伪军头目","沾化/利津","何思源","国民党鲁北行署主任","虽非日伪任命，但唆使周胜芳、成建基等部勾结日伪组织“剿共联军”[reference:35]。史料中被称为“汉奸何思源”[reference:36]","待考"
"伪政权人员","广饶","张子周","伪广饶县县长","1941年12月16日被八路军击毙[reference:37]","被击毙[reference:38]"
"伪政权人员","广饶","刘协堂","伪广饶县县长（投降派）","日伪时期的投降派县长[reference:39]。日本投降后投靠国民党[reference:40]","待考"
"伪政权人员","广饶","刘景尧","伪武定道尹","1942年8月配合日军指挥官示川，集中6000余日伪军向利津、沾化扫荡[reference:41][reference:42]","待考"
"伪政权人员","广饶","尹汉卿","汉奸","1944年1月被抗日民主政府在尹楼村召开千人大会处决[reference:43]","被处决[reference:44]"
"伪政权人员","广饶","邓次忠","汉奸","日伪时期汉奸，日本投降后投靠国民党[reference:45]","待考"
"伪政权人员","广北","商吉堂","伪乡长","广北“头面人物”[reference:46]，与成建基关系密切[reference:47]。吸大烟，勒索百姓[reference:48]","待考"
"伪政权人员","广北","翟培卿","汉奸","广北“头面人物”[reference:49]，与成建基拜把子[reference:50]","待考"
"伪政权人员","广北","岳植三","汉奸","广北“头面人物”[reference:51]，后转为中立[reference:52]","待考"
"伪政权人员","广北","贾子芝","汉奸","广北“头面人物”[reference:53]","待考"
"伪政权人员","广北","丁化南","汉奸","广北“头面人物”[reference:54]，后转为中立[reference:55]","待考"
"伪政权人员","广北","郭梅村","汉奸","广北“头面人物”[reference:56]，后转为中立[reference:57]","待考"
"伪政权人员","利津","金明焕（金翻译）","日军翻译官（大汉奸）","沾化县富国镇大汉奸、鬼子翻译官[reference:58][reference:59]。1939年4月其岳母和一汉奸小头目到义和庄侦察时被抓获处决[reference:60]","待考"
"伪政权人员","广饶/利津","张子诚","伪军刘佩臣部办公室主任","郝家据点铁杆汉奸[reference:61]","待考"
"基层汉奸","广饶","曲文成","张许村汉奸","向敌人提供西南李村情报的汉奸[reference:62]","待考"
"基层汉奸","利津","成和卿","伪乡长","成建基的大舅子，担任伪乡长[reference:63]","待考"
