"地区","姓名","职务","主要罪行","结局"
"叶县","赵明堂","叶县维持会会长","叶县青帮头子，日军占领叶县后利用黑社会势力把原维持会会长杨继云赶下台，自己当会长[reference:0][reference:1]。与日军勾结，设立关卡向过往行人客商收取护路费，欺压百姓[reference:2]","抗战胜利后，1945年日军投降、县政府回城后，县长崔兆元立即下令将其铡杀[reference:3][reference:4]"
"叶县","薛伟","叶县维持会副会长","叶县日伪政权二号人物、大汉奸[reference:5]。长期经商落户叶县，日军占领后任维持会副会长[reference:6]。1944年7月带随从沿许南公路为日军催收粮款，在旧县（今叶邑镇）扣押当地财主故交勒索赎金[reference:7]","1944年7月，地下党陈继尧派段庄村地下党都克祥设局将其击毙于旧县南街油坊院[reference:8][reference:9]"
"叶县","崔中英（崔仲英）","日军谍报队参谋、中校军统特务","原供职于豫西警备司令部中校参谋[reference:10]。日军占领叶县后摇身一变成为日军谍报队参谋，专事破坏叶县党组织，危害乡里，无恶不作[reference:11][reference:12]","1944年，叶县地下党组织决定由陈继尧、王文卿将其除掉。陈继尧假托其岳母病重写信诱其回乡，途中在邵奉店村头将其击毙[reference:13]"
"叶县","杨继云","叶县维持会会长（首任）","日军占领叶县后首任维持会会长[reference:14][reference:15]","被叶县青帮头子赵明堂利用黑社会势力赶下台[reference:16][reference:17]"
"宝丰","范任","宝丰县伪县长","原宝丰县长，1944年5月6日宝丰县城被日军攻陷后携带家眷随从逃至观音堂滴水崖村[reference:18]。1944年11月8日投靠日军，任伪县长[reference:19]","待考"
"宝丰","刘子振","汉奸","郏县沦陷后盘踞在郏县安良一带，成了亲日汉奸[reference:20]","待考"
"鲁山","李化普","鲁山县伪县长（省方委任）","1944年5月鲁山沦陷后，省政府委任其为县党部书记、鲁山县县长[reference:21]。实际在日伪政权中任职","待考"
"襄城县","刘万昌","襄城县县长（汉奸）","抗战时期任襄城县县长，向第五战区谎报“一战区投降了”，导致第五战区用机枪扫射友军[reference:22][reference:23]","后被两区人员在茶楼捉获，刘万昌供认不讳[reference:24][reference:25]"
"滍阳（今属平顶山）","佚名","滍阳街维持会负责人","1944年6月，日军发现一名日军队长尸体后，当地维持会汉奸纷纷出动，挨家挨户彻查，为日军搜寻凶手[reference:26][reference:27]","待考"
"平顶山周边","陈凯","汉奸翻译","日军华北五省特务机关长吉川贞佐的汉奸翻译[reference:28]","1940年，吴凤翔、王宝义刺杀吉川贞佐时，王宝义将陈凯击毙[reference:29]"
"平顶山周边","刘兴周","伪开封警备司令","郏县人牛子龙率人潜入开封将其击毙[reference:30][reference:31][reference:32]。刘兴周疯狂残害抗日民众[reference:33]","1939年被牛子龙击毙于河南省警备司令部门口[reference:34][reference:35]"
"平顶山周边","徐宝光","伪开封维持会长","郏县人牛子龙率人将其刺杀[reference:36][reference:37]","被牛子龙刺杀[reference:38][reference:39]"
"平顶山周边","徐立中（徐立忠）","伪“豫州自卫军”总司令","大汉奸，策划豫西尖刀行动计划[reference:40][reference:41]","被牛子龙设计借日本人之手处死[reference:42][reference:43][reference:44]"
