"类别","姓名","职务","主要罪行","结局"
"伪政权高官","赵琪","伪青岛治安维持会会长（1938.1）→伪青岛特别市市长（1939.1—1943）","掖县人。1938年日军占领青岛后主动投靠，出任伪治安维持会会长，后任伪青岛特别市市长。搭建整套伪行政体系，主持“青岛会谈”迎接汪精卫等汉奸集团，推行保甲制度和奴化教育，为日军搜刮物资、征抓劳工，协助日军对青岛实行殖民统治，压榨工商业[reference:6][reference:7]","抗战胜利后被逮捕，1947年被以汉奸罪判处死刑[reference:8][reference:9]"
"伪政权高官","姚作宾","伪青岛治安维持会总务长→伪社会局局长→伪青岛特别市市长（1943—1945）","1938年跟随赵琪投敌，历任维持会总务长、社会局局长，1943年出任伪青岛市长，兼任伪新民会青岛总会会长[reference:10][reference:11]。大肆搜刮铜铁、粮食、献金献给日军，强征民铜20万公斤、慰问粮数千吨[reference:12]。推行奴化宣传，镇压地下抗日活动[reference:13]。是青岛头号汉奸[reference:14]","战后被国民政府审判，初判死刑，后改判无期徒刑，在狱中死亡[reference:15][reference:16]"
"伪政权高官","傅鑫","伪青岛警察局局长","日军占领后投靠，出任伪警察局长，统辖数千名伪警察[reference:17][reference:18]。配合日本宪兵搜捕地下党员和抗日志士，管控城区治安，为各类汉奸会议全城戒严布防，推行保甲连坐制度[reference:19]","抗战胜利后被逮捕，判处有期徒刑[reference:20]"
"伪政权高官","吕振文","伪青岛治安维持会委员→伪青岛特别市财政局长","广东人，前清举人，康有为弟子。1938年投敌，任伪治安维持会九名委员之一[reference:21][reference:22]，后任伪青岛特别市财政局长、土地整理委员会委员长[reference:23][reference:24]。作为伪代表团副团长赴日本参加“东亚大都市联盟会议”，从事亲日宣传活动[reference:25][reference:26]","待考"
"伪政权高官","谢祖元","伪青岛特别市访日代表团团长","1939年10月以团长身份率伪青岛特别市访日代表团16人赴日本参加“东亚大都市联盟会议”[reference:27]","待考"
"伪政权高官","韩鹏九","伪青岛特别市访日代表团副团长","与吕振文同任副团长，赴日本参加“东亚大都市联盟会议”[reference:28]","待考"
"伪军头目","李永平（李子瑞）","伪滨海警备军少将司令","山东高密人。原国民党苏鲁战区游击队第二纵队第六支队司令[reference:29]。1943年3月在汪伪军事参议潘荫南策动下投靠日军，率6000余人改编为伪滨海警备军[reference:30][reference:31]，在青岛日军第五混成旅团长内田直接指挥下活动[reference:32]。盘踞泊里重镇，控制胶南、诸城沿海大片区域[reference:33]。规定“五家连坐法”，成立“剿共委员会”，修筑42处据点、30余座炮楼，强征民夫70万人次、粮食1200多万斤、征款800多万元[reference:34]。1944年制造“泊里惨案”，杀害共产党员和群众120多人[reference:35]","1944年11月1日病死在青岛[reference:36][reference:37]"
"伪军头目","李贤斋","伪滨海警备军司令（继任）","李永平死后接手部队，死心效忠日军[reference:38]。大肆搜捕地下党组织，根据叛徒供词抓捕大批地下党员进行屠杀，疯狂清乡[reference:39]","1945年泊里战役之后，在安丘被击毙[reference:40]"
"伪军头目","于炳宸","伪滨海警备军副司令","随李永平一起投敌[reference:41]。主持抓民夫、修炮楼，执行扫荡任务，参与多次对抗日根据地的“清剿”，压榨百姓[reference:42][reference:43]","泊里战斗中被俘，公审处决[reference:44]"
"伪军头目","相铭忱","伪胶县保安联队长","胶县本地武装头目，主动投靠日军，将300人队伍扩编为千余人伪保安第四联队[reference:45]。驻守胶县，多次进攻胶东抗日根据地，围剿抗日武装，残害基层干部，鱼肉乡里[reference:46]","1949年青岛解放后被逮捕，1950年公审处决[reference:47]"
"伪军头目","张鸿飞","伪山东特务第四旅旅长","胶县西乡土匪出身[reference:48]。投靠日军后任伪胶县六区自卫团长，后升任伪特务第四旅旅长[reference:49]。配合日军扫荡胶县、高密一带根据地，捕杀抗日军民，劫掠村镇[reference:50]","抗战胜利后潜逃南京，建国后被抓捕归案，1954年处决[reference:51]"
"伪军头目","张步云","伪山东自治联军→伪第三方面军暂编第一军军长（伪军中将）","山东高密人，土匪、汉奸首领[reference:52]。通过高密汉奸赵青山牵线投降日军，被编为伪“山东自治联军”[reference:53]。多次进攻平度等地[reference:54]。1944年任日伪第三方面军暂编第一军军长、伪军中将[reference:55]","抗战胜利后只身逃往青岛，被国民党当做弃子，经王耀武批准在青岛被枪决[reference:56][reference:57]"
"伪军头目","赵保原","伪军旅长→国民党暂编第十二师师长（反复投敌）","山东蓬莱人[reference:58]。早年投靠东北奉系，“九·一八”后投靠伪满大汉奸李寿山[reference:59]。1938年率伪军入侵平度[reference:60]。后投靠国民党，但又与日伪勾结，在青岛设立办事处，与日军谈判[reference:61]","1946年被击毙[reference:62]"
"伪军头目","王铁相","伪军头目（平度）","盘踞平度的伪军头目[reference:63]。抗战胜利后拒不投降，死守平度城[reference:64]","1945年9月平度攻城战中被消灭[reference:65]"
"伪军头目","刘桂棠（刘黑七）","伪军旅长","山东巨匪，投靠日军任伪军旅长，多次参与进攻平度等地的军事行动[reference:66]","1943年被八路军击毙"
"地方汉奸（平度）","高明斋","伪平度维持会会长","1938年日军占领平度后，被网罗组成维持会，任会长[reference:67]","待考"
"地方汉奸（平度）","张松山","伪平度县长","1938年12月凑成伪平度县政府，任县长[reference:68]。曾任张步云部第四大队长、军需处长[reference:69]","待考"
"地方汉奸（平度）","王潘亭","伪平度县参议长","伪平度县政府参议长[reference:70]","待考"
"地方汉奸（即墨）","李德法","汉奸（即墨毛子埠）","即墨毛子埠村人，原为犯人，获释后对日军“救命”之恩感激涕零，立即当了汉奸，成为日军忠实走狗[reference:71][reference:72]","待考"
"地方汉奸（即墨）","于某（姓名不详）","汉奸翻译（即墨皋虞据点）","即墨皋虞日军据点翻译，经常祸害百姓，为虎作伥[reference:73]","待考"
"地方汉奸（莱西）","孔庆福","汉奸（莱西马连庄）","莱西县马连庄乡孔家村人[reference:74]。1940年日军占领马连庄后投靠日军，与日军狼狈为奸，镇压民众抗日救亡运动，亲自督乡队到田家村抓村民17人，4人惨遭杀害[reference:75]","1947年12月死亡[reference:76]"
"地方汉奸（码头）","张金堂","汉奸把头","青岛码头汉奸把头，结识日本人松村及中岛，仰仗日本势力挂牌统治工人，在码头上为非作歹[reference:77]","待考"
"地方汉奸（码头）","毛桂芳","汉奸把头","青岛码头封建把头，靠山是日本人中西[reference:78]","待考"
"地方汉奸（码头）","韩家骀","汉奸把头","青岛码头把头，曾两次帮日本侵略者从济南等地招募工人[reference:79]","待考"
"地方汉奸（乡保）","郭敬海","伪乡长/伪保长","专门盯着抗日家属，收情报、报信，摊派粮款[reference:80]","待考"
"地方汉奸（乡保）","佚名伪保长","伪保长（即墨西部）","日军一来就把埋着的公粮交出去，还指认藏身的干部，致使多人被抓[reference:81]","待考"
