"地区","姓名","职务","主要罪行","结局"
"信阳县","周汉臣","伪信阳县临时治安维持会会长→伪信阳县政府县长","1938年11月出任伪“信阳县临时治安维持会”会长[reference:1]；1939年6月伪组织改称“信阳县政府筹备处”，9月成立伪“信阳县政府”[reference:2]，周汉臣任伪县长","待考"
"信阳县","罗千生","灵城乡保长","经常欺压群众，敲诈勒索，勾结国民党第五战区第四游击纵队王占奎部袭击信罗边根据地，民愤极大[reference:3]","1942年被信罗边县公安局捕获，经教育后释放"
"信阳县","董成高","日本特务组织“白天府”便衣队副队长","1944年夏，阴谋以谈判为名消灭公安局手枪队，发出“请柬”邀手枪队正、副队长到何家垮“赴宴”[reference:4]","1944年被信阳公安局手枪队将计就计击毙[reference:5]"
"信阳县","马显扬","伪顽县长","1945年盘踞在申阳台，暗中勾结日寇袭击郭山冲后方医院[reference:6]","1945年被三十八团攻破申阳台城时活捉[reference:7]"
"信阳县","（佚名）","伪信阳县政府官员","日本人扶植汉奸成立了伪县政府，并在街头举行庆祝大会[reference:8]","待考"
"信阳县","（汪伪军十二师骑兵团二营）","汪伪军十二师骑兵团二营（汉奸队伍）","1942年驻扎在中山铺（今信阳县境），经常在信罗边根据地抢粮[reference:9]","1942年4月被信罗边县公安局手枪队配合500多名民兵夜袭，毙敌20余人，俘敌120余人，缴获战马20匹、机枪3挺、步枪94支、迫击炮1门[reference:10][reference:11]"
"潢川县","杨炳霖","汉奸","1938年日军入侵潢川时投靠日寇当汉奸，敲诈勒索，派粮派款，欺压百姓[reference:12][reference:13]","被“黄司令”（抗日武装）进潢川后为民除害，插上亡命旗拉出大西关处决[reference:14][reference:15]"
"潢川县","张作和（张作有/张平达）","日伪情报员→伪乡长","1941年春至1942年秋季在本村干日伪情报员，每日向日伪报告抗日武装在该地的活动情况。1941年秋季向日军报告侦查连副连长张明堂在该村开展抗日工作。1941年任伪乡长时，日军包围辛寺庄逼问谁是八路军，张作和指认“小穷与八路军有联系”","解放后隐藏历史，后因“信阳事件”被揭发，1962年被清除出党"
"潢川县","张存礼","伪乡长","张作和之父，名义上担任伪乡长，实际由张作和在伪乡公所当权派款要伕","待考"
"潢川县","张用芝","地主伪乡长","潢川县地主，日伪统治时期任伪乡长","待考"
"潢川县","王生堂","地主日伪情报员","潢川县地主，充当日伪情报员","待考"
"罗山县","（伪军）","伪军（汉奸队伍）","抗日战争时期罗山境内有汉奸武装活动","待考"
"光山县","（佚名）","伪维持会成员","光山沦陷后，日伪成立维持会等汉奸组织","待考"
"新县","（佚名）","伪维持会成员","新县地处大别山革命老区，沦陷后有汉奸组织活动","待考"
"商城县","（佚名）","伪维持会成员","商城沦陷后，日伪成立维持会等汉奸组织","待考"
"固始县","（佚名）","伪维持会成员","固始沦陷后，日伪成立维持会等汉奸组织","待考"
"息县","（佚名）","伪维持会成员","息县沦陷后，日伪成立维持会等汉奸组织","待考"
"淮滨县","（佚名）","伪维持会成员","淮滨（原属息县、固始）沦陷后，有汉奸组织活动","待考"
