"地区","姓名","职务","主要罪行","结局"
"安阳（伪彰德县）","萧瑞臣（肖瑞臣）","伪彰德县治安维持会会长→伪河南省自治政府主席→伪河南省公署省长兼首任伪彰德县知事","1937年11月率先出城迎敌，组建彰德治安维持会；当月成立伪河南省自治政府任主席；强征粮食、棉花、民夫供给日军；推行保甲制度，配合日军扫荡[reference:4][reference:5][reference:6]","抗战胜利后被国民政府逮捕，以汉奸罪判刑[reference:7]"
"安阳（伪豫北道）","陈静斋","伪豫北道道尹→伪河南省省长（1939年继任）","1938年伪豫北道署设于安阳，出任首任道尹，统辖豫北十余县伪政权；统筹各县伪公署、警备队协同“治安肃正”；推行奴化教育，掠夺豫北物资[reference:8][reference:9][reference:10]","日军投降后潜逃，建国后被抓捕审判[reference:11]"
"安阳（伪彰德县）","于文城（于文成）","伪彰德县知事（中后期）","东北籍官僚，接替萧瑞臣担任伪彰德县长；强化城内治安管控，设立伪警察所；严密盘查平汉铁路往来人员；多次配合日军下乡清乡[reference:12][reference:13]","1945年安阳解放前夕随日军撤离，下落失考[reference:14]"
"安阳","楚孝伯","伪新民会安阳负责人","本地士绅，安阳沦陷后投靠日军；大肆开展亲日反共宣传，发展新民会员；拉拢乡村地主、商人依附日伪；搜集民间情报[reference:15][reference:16][reference:17]","抗战结束后被群众检举，依法惩处[reference:18]"
"安阳","李福和","皇协军第一路军军长","原国民党游击司令，1937年底叛变投日，是抗战初期最早投敌的国军高级将领之一；驻防安阳西部水冶一带；收拢溃散武装数千人，配合日军进攻太行山抗日根据地[reference:19][reference:20]","1938年8月7日，部下黄宇宙、徐靖远发动曲沟事变，将其当场击毙[reference:21][reference:22]"
"安阳","王自全","靖安军独立第二旅旅长（崔家桥巨匪）","安阳县崔家桥隆化村人；1943年接受日伪委任，盘踞安阳东部崔家桥；修筑大量碉堡工事，抓捕地下党员；在丰乐镇一次杀害干部群众18人；活埋郭文修父子；强征棉花、粮草[reference:23][reference:24]","日军投降后投靠国民党；1947年崔家桥据点被攻破，逃亡安阳；1949年在武汉被仇家刺杀[reference:25]"
"安阳","李台","伪豫北剿共支队司令","安阳东部老牌地方武装首领，1938年主动投靠日军，驻防辛村、窦公一线；多次进攻内黄、安阳东部沙区抗日武装；胁迫周边村庄建立维持会[reference:26][reference:27]","1944年武装遭冀鲁豫军区重创，势力瓦解；抗战胜利后溃散[reference:28]"
"安阳","程道合","伪军头目","安阳东部土匪，依附李台后独立接受日伪委任，驻守吕村、瓦店一带据点；配合日军封锁卫河沿岸，搜捕地下交通员；常年向各村摊派苛捐杂税[reference:29][reference:30]","待考"
"安阳","程道生","伪军头目","程道合之弟，与程道合一同投靠日军，盘踞安阳东部[reference:31][reference:32]","待考"
"安阳","汪怀密（汪怀秘）","伪军头目","安阳东部一带的汉奸武装头目，被日军收编；其爪牙横行汤阴东部一带，抢劫百姓[reference:33][reference:34]","待考"
"安阳","许金生","伪军头目","安阳东部被日军收编的土匪武装头目之一[reference:35]","待考"
"安阳","韩清臣","伪军头目","安阳东部被日军收编的土匪武装头目之一[reference:36]","待考"
"安阳","李好敬","伪军头目","安阳东部被日军收编的土匪武装头目之一[reference:37]","待考"
"安阳（国民党投敌）","姚法普","国民党安阳县县长","原国民党安阳县政府驻西部山区岭头村；1943年5月率众投降日军，充当日伪汉奸，仍盘踞岭头一带统治群众[reference:38][reference:39][reference:40]","1943年5月，抗日武装向投降日军的姚法普政府发起进攻，消灭汉奸武装保安队五百多人[reference:41]"
"安阳","武平章","伪七区区长（三仓村人）","七区解放后带家眷逃往鹤壁集，勾结日伪军策动伪七区保安队叛变[reference:42][reference:43]","待考"
"安阳","武新年","汉奸","与武平章勾结日伪军，策动伪七区保安队人员叛变，制造“雪花洞惨案”[reference:44]","待考"
"安阳","武日保","伪七区保安队长","保护武平章逃往鹤壁集[reference:45]","待考"
"汤阴（今属安阳）","汪怀秘（即汪怀密）","汉奸（伪军头目）","在汤阴东部一带横行霸道，其爪牙常到皇甫一带抢劫[reference:46][reference:47]","待考"
"内黄（今属安阳）","冯好学","汉奸团长","内黄县西永建村伪军据点汉奸团长[reference:48]","待考"
"内黄（今属安阳）","段树梅","伪清乡队长","内黄县西永建村人，惯匪；1941年被冯好学委任为西永建据点的清乡队长[reference:49]","待考"
"内黄（今属安阳）","许群英","汉奸队长","内黄县大故县据点汉奸队长[reference:50]","待考"
"内黄（今属安阳）","李英","汉奸","1941年4月率部南犯亳城、次范等村[reference:51]","待考"
"滑县（今属安阳）","吴蓝田（吴兰田，化名吴进善）","伪特务工作团团长","原滑县支部书记，1940年投靠日军；向日军提供情报导致大规模扫荡，杀害群众4000余人及大批八路军；诱骗多名女干部[reference:52][reference:53]","潜逃多年，建国后被公安部通缉逮捕并枪毙[reference:54][reference:55]"
"滑县（今属安阳）","杜淑","伪军头目（汉奸将军）","长期盘踞晋冀鲁豫边区，为非作歹[reference:56]","待考"
"滑县（今属安阳）","杨振兰","伪二十四路","1941年4月率部占领抗日根据地安化城（二安）村[reference:57]","待考"
"滑县（今属安阳）","孙步月","反共自卫团团长","1941年4月与杨振兰一同占领抗日根据地安化城（二安）村[reference:58]","待考"
"滑县（今属安阳）","李小孩（李荣卿）","土匪汉奸","滑县牛屯集南街人，抗战前即从事土匪活动，后沦为汉奸[reference:59]","待考"
"林县（今林州，属安阳）","李福和（关联）","皇协军第一路军军长","1938年3月30日在林县公开叛变[reference:60]","见上（曲沟事变被击毙）"
"安阳周边（豫北）","扈全禄","伪河南剿匪总司令","豫北老牌匪首，投降日军后被委任伪河南剿匪总司令，活动于淇县、浚县、汤阴一带；配合日军扫荡，捕杀抗日军民[reference:61]","待考"
"安阳周边（豫北）","杨法贤","伪东亚同盟自治军第二旅旅长","冀鲁豫边区有名的汉奸头子之一，拥有3000多人的反动武装[reference:62]","待考"
