"类别","姓名","职务","主要罪行","结局"
"伪省政权","马良","伪济南治安维持会会长（1938.1）→伪山东省省长（1938.3）","1928年济南五三惨案时就曾附逆组织维持会；1937年济南沦陷后再次投敌，任伪维持会长；1938年3月任伪山东省省长，为日军组建伪政权和伪军[reference:2]","1939年1月被免职调往北平；日本投降后被逮捕；1947年保外就医期间病死[reference:3]"
"伪省政权","唐仰杜","伪山东省财政厅厅长（1938.3）→伪山东省省长（1939.1）","邹县人。1938年3月任伪财政厅长，1939年1月升任伪省长，是山东日伪政权中任期最长、作恶最多的汉奸头目，积极组建伪军和各级伪政权，镇压抗日军民[reference:4][reference:5][reference:6]","1951年4月12日被以汉奸罪判处死刑，4月29日在济南被执行枪决[reference:7][reference:8]"
"伪省政权","杨毓珣","伪山东省省长（1945.2）","袁世凯女婿，出身显贵。1945年2月接替唐仰杜任伪省长，是山东沦陷期间最后一任伪省长[reference:9]","日本投降后被逮捕入狱；1947年病死于狱中（一说被枪决）[reference:11]"
"伪省政权","劳之常","伪山东省公署总务厅厅长","1938年3月伪山东省政权成立时任总务厅厅长[reference:12]","待考"
"伪省政权","晋延年","伪山东省公署秘书长（兼民政厅厅长）","1938年任伪山东省公署秘书长兼民政厅厅长[reference:13]","待考"
"伪省政权","庄维屏","伪山东省公署建设厅厅长","莒县人，1938年3月任伪建设厅厅长[reference:14][reference:15]","待考"
"伪省政权","郝书暄","伪山东省公署教育厅厅长（代理→正式）","1938年3月代理教育厅厅长，同年11月正式任命为厅长；多次被“山东抗日铁血锄奸救国团”列为刺杀目标[reference:16][reference:17]","待考"
"伪省政权","张亚东","伪山东省公署警务厅厅长","1938年4月增设警务厅时出任厅长[reference:18]","待考"
"伪省政权","常之英","伪山东省公署总务厅厅长→伪莱潍道尹→伪登州道尹","济宁人。1938年5月投降日军，先后任伪总务厅长、伪潍县知事、伪莱潍道尹、伪登州道尹[reference:19]","1946年被国民党山东省高等法院以汉奸罪判处有期徒刑7年[reference:20]"
"伪省政权","成逸庵","伪鲁北道尹","伪鲁北道尹，被“山东抗日铁血锄奸救国团”列为威慑对象[reference:21][reference:22]","待考"
"伪省政权","张超骥","伪山东省高等法院院长","伪高院院长，被“山东抗日铁血锄奸救国团”刺杀[reference:23][reference:24]","被刺杀"
"伪市政权（济南）","朱桂山","伪济南治安维持会副会长（1938.1）→伪济南市市长（1938.3—1942.12）","单县人。日本早稻田大学毕业，同盟会员。济南沦陷后投敌，任伪维持会副会长，后任伪济南市长，参与推行反共的“治安强化”运动[reference:25][reference:26]","1946年病死于北平[reference:27]"
"伪市政权（济南）","张星五","伪济南治安维持会秘书长","济南市律师公会会长。济南沦陷前即与何素朴等人商讨迎接日军办法，任伪维持会秘书长[reference:29]","待考"
"伪市政权（济南）","赵君弼","伪济南治安维持会警察局局长","任伪维持会警察局长，维持会警察局听命于日军济南警备司令部及宪兵队指挥[reference:31]","待考"
"伪市政权（济南）","晋子寿","伪济南治安维持会民政科科长","聊城人。伪维持会成立时任民政科科长[reference:33]","待考"
"伪市政权（济南）","李时涛","伪济南治安维持会财政科科长","伪维持会成立时任财政科科长","待考"
"伪市政权（济南）","李汝朴","伪济南市市长（后期）","继朱桂山之后任伪济南市长[reference:35]","待考"
"伪市政权（济南）","苗兰亭","伪济南商会理事长","大汉奸，在伪市长李汝朴监督下当选伪商会理事长，协助日伪向济南工商界摊派勒索[reference:36]","待考"
"伪市政权（济南）","何素朴","济南道院统掌","济南道院统掌，济南沦陷前即与张星五等人组织“维持秩序”，商讨迎接日军办法[reference:38]","待考"
"伪市政权（济南）","魏寿山","伪宣抚班负责人","伪宣抚班专给日本人当特务和宣传员，由魏寿山领头","待考"
"伪市政权（济南）","张冠三","伪联合供应站负责人","联合供应站负责驻济日军、日侨生活供应，由张冠三、傅雨亭负责","待考"
"伪市政权（济南）","傅雨亭","伪联合供应站负责人","与张冠三共同负责联合供应站","待考"
"地方汉奸（历城）","陈崇山","伪军头目（历城）","历城势力最强的汉奸头目，其部充斥伪警备队、自卫团、保安队及伪县区政权机构，被百姓斥为“儿鬼子”[reference:42][reference:43]","待考"
"地方汉奸（章丘）","高松坡","大汉奸（章丘）","章丘有名的大汉奸。1939年2月奉秦启荣密令制造反共摩擦；1941年与刘道三共同修建汉奸桥[reference:44]","待考"
"地方汉奸（章丘）","刘道三","汉奸（章丘）","1941年与高松坡共同修建汉奸桥[reference:45]","待考"
