"地区","姓名","职务","主要罪行","结局"
"荆门县","申衡","汪伪荆门县县长","荆门沈集人。1942年7月7日被汪伪湖北省政府委任为伪荆门县县长。任内一切听命于驻荆日军辅佐官高田，是日军在荆门实施殖民统治的直接代理人[reference:3]","1945年9月汪伪荆门县政府瓦解[reference:4]"
"荆门县","喻执钦","汪伪荆门县政府筹备处处长","荆门人，北京大学经济系毕业，曾任国民党荆门县政府财政、教育科长。1941年7月被日军指定为“荆门县政府筹备处”筹备处长[reference:5]。后改任产业合作社社长[reference:6]","待考"
"荆门县","张葆诚","汪伪荆门县政府秘书长","荆门城北绅士，曾留学日本明治大学。1941年7月任“荆门县政府筹备处”秘书长，1942年7月汪伪荆门县政府成立后继任秘书长[reference:7]","待考"
"荆门县","杨维臣","伪维持会会长","荆门杨家集伪维持会长。曾多次遭土顽头目姚金陵谩骂，对姚心怀忌惮。后被我荆南工委争取为内线，协助粉碎了姚金陵投靠日军的阴谋[reference:8]","待考"
"荆门/钟祥","李用民","“反共军”司令","盘踞荆钟北山抗日根据地的土顽、汉奸头目。1940年襄西沦陷后公开打着“反共军”旗号甘当日寇走狗，自称司令，对抗日武装、共产党员和根据地进步群众实行血腥镇压，杀人不眨眼[reference:9]","1942年8月，北山坚委组织游击队攻其老巢，李用民被当场活捉，受到应有惩罚[reference:10]"
"荆门县","姚金陵","土顽头目（汉奸）","1942年10月，派一个连到杨家集投靠日军，企图与日军合伙对荆南抗日游击队实行大“清剿”[reference:11]","投日计划被荆南工委利用日伪顽矛盾粉碎[reference:12]"
"钟祥县","周良玉（周老八）","日伪鄂西保安军二团团长→新四军五师特三旅旅长（后叛变）","钟祥柴湖人，土匪出身[reference:13]。当地沦陷后投靠日军。1943年2月率部投奔新四军五师，被编为特三旅任旅长[reference:14]。同年9月日军大扫荡时叛变投敌，绑架政工干部谢威、杜邦宪等人，将杜邦宪装入麻袋沉水杀害[reference:15]。被称为“钟祥抗战历史上最大的汉奸”[reference:16]","后被自己的警卫员杀死[reference:17]"
"钟祥县","罗润甫","钟祥县汉奸维持会会长","钟祥县汉奸维持会会长。曾第一时间将新四军哗变情报报告给日军宪兵队队长横山晋二[reference:18]","待考"
"钟祥县","郑耀南","铁杆汉奸","钟祥县铁杆汉奸，史料称其“铁杆汉奸郑耀南”[reference:19][reference:20]","待考"
"钟祥县","曾宪成","民族败类（汉奸）","钟祥县民族败类，通过自己的情报网将刘辅珩哗变的时间故意泄漏给汉奸，妄想借刀杀人，利用日军消灭新四军[reference:21][reference:22]","待考"
"京山县","刘辅珩","国民党第五战区第六游击纵队第八支队副支队长→投伪政府","京山当地区长[reference:23]。1940年9月至12月为统战对象，后叛变，投靠伪政府[reference:24][reference:25]","待考"
"京山县","（佚名汉奸）","汉奸告密者","1943年3月28日，因汉奸告密，新四军五师四十三团营长林水川部驻地方家岩子突然遭到日伪军包围，吴堰岭区委书记黄连、京钟武工队队长熊庆璋等27位同志牺牲[reference:26][reference:27]","待考"
"京山县","张之元","汉奸","京山县汉奸。抗战胜利后，湖北高等法院检察处、湖北高等法院刑庭、京山县政府曾就其汉奸案发出指令、呈文[reference:28]","待考"
"荆门地区","（7名汉奸乡长）","汉奸乡长","侵华日军为控制北山抗日根据地中心地段，连派7个汉奸到下胡家集任乡长[reference:29]","北山抗日武装在叶云领导下铲除耳目，这些汉奸无一漏网[reference:30]"
"荆门地区","（佚名汉奸）","汉奸","沙洋一带汉奸。抗日志士丁心鑑曾于1941年某晚冲进屋里杀死一姓林的汉奸[reference:31]","被抗日志士丁心鑑杀死"
"荆门地区","（各维持分会负责人）","伪维持分会会长","日军占领荆门后，在荆门成立“维持总会”和24个“维持分会”，各分会负责人均为汉奸[reference:32]","1945年9月汪伪政权瓦解"
