"地区","姓名","职务","主要罪行","结局"
"豫北（司令部驻新乡）","庞炳勋","伪第二十四集团军总司令（原国民党第40军军长）","1943年5月在太行山被日军俘获后叛国投敌[reference:2]；指挥部队配合日军对太行、豫北抗日根据地反复“扫荡”，抓捕地下党员、强征粮饷、修筑封锁沟；利用原有国军身份诱降豫北各地游击武装[reference:3]","1945年日本投降后归顺国民党；解放战争后期逃往台湾，终老海外，逃脱审判[reference:4]"
"豫北（司令部驻新乡）","孙殿英","伪第二十四集团军副总司令、豫北剿共司令（原国民党新编第五军军长）","1943年跟随庞炳勋投敌[reference:5]；部队常驻新乡、辉县、汲县一带；多次配合日军进攻太行七分区抗日武装，搜捕八路军情报人员，横征暴敛[reference:6]","抗战结束再次投靠国民党；1947年汤阴战役被解放军俘虏，关押期间病逝[reference:7]"
"新乡城区/新乡县","张敬轩（小冀杏庄人）","新乡首任维持会会长","1938年2月新乡沦陷，主动联络城内士绅迎接日军入城[reference:8]；2月19日成立新乡县维持会任会长[reference:9]；协助日军征集粮草、民工，组织新民会，推行保甲制度，搜捕爱国群众，为日军搜集城乡情报[reference:10]","伪县公署成立后卸任；抗战胜利后被国民政府逮捕审判[reference:11]"
"新乡城区/新乡县","郭培基（新乡北街人）","第一任伪新乡县知事","新乡本地士绅，接受日伪委任组建正式伪新乡县公署[reference:12]；公开吹捧日军侵略是“应天顺人之举”[reference:13]；完善城乡伪保甲体系，配合日军治安强化运动，清查抗日分子，推行奴化教育[reference:14]","日军投降后作为首要汉奸被逮捕惩处[reference:15]"
"新乡县","魏化明（秀才庄人）","伪保长（告密汉奸）","秀才庄伪保长，表面应付抗日武装，暗中勾结联庄会反动武装与日伪[reference:16]；1944年向反动武装告密，致使太行七分区47名八路军侦察队员遭包围全部遇害（秀才庄四十七烈士惨案）[reference:17]","抗战胜利后被人民政府镇压[reference:18]"
"新乡县","于作乾（秀才庄人）","秀才庄联庄会骨干","地方土豪，依附日伪，掌控秀才庄周边联庄会武装[reference:19]；配合伪保长魏化明伏击八路军侦察队，制造四十七烈士血案[reference:20]","解放后清算反革命罪行，依法处决[reference:21]"
"新乡县","崔法云（崔小郭村人）","新乡县崔小郭村日伪区长","自当上日伪区长后，仗日军势力横行乡里，搜刮民财，欺压百姓，竭力破坏共产党领导的抗日斗争[reference:22]","1939年农历五月，被中共新辉获工委派人于其娶小老婆之夜抓获，押至辉县抗日根据地处决[reference:23]"
"新乡县","张喜成","汉奸（原国民党区长）","原新乡县国民党区长，日军入侵后叛变投靠日军，成为当地臭名昭著的汉奸败类[reference:24]","待考"
"获嘉县","张玉振（张金声）","获嘉维持会会长→伪获嘉县知事","兵痞、地主[reference:25]；1938年2月18日纠集卜邦臣、王学太等汉奸打着日本旗出城迎接日军进城[reference:26]；2月20日组建获嘉维持会任会长，同年5月任伪获嘉县知事[reference:27]；设立警备队、新民会；配合日军推行三光政策，在望高楼一带焚毁民房、屠杀群众；强征青壮年送往东北、大同充当劳工；强迫全县种植鸦片、贩卖毒品；开展奴化教育[reference:28]","1945年日本投降后隐匿，1950年被抓捕公审，执行枪决[reference:29]"
"获嘉县","卜荣卿","获嘉维持会副会长","协助张玉振摊派粮款、搜集情报[reference:30]","解放后清算治罪[reference:31]"
"获嘉县","王兴恒","获嘉维持会副会长","协助张玉振摊派粮款、搜集情报[reference:32]","解放后清算治罪[reference:33]"
"辉县","袁石生","第一任伪辉县知事","1938年2月16日辉县沦陷后，受日军委任组建伪政权[reference:34][reference:35]","1938年7月18日被八路军侦察人员俘获[reference:36]"
"辉县","白雪亭","第二任伪辉县知事","袁石生被俘后，被日伪河南省公署委任为第二任伪辉县知事[reference:37]；复查辉县保甲户口，扩充日伪警务局，重组日伪保卫团[reference:38]","待考"
"辉县","李怀仁","辉县伪县长","1944年带领日伪军将44名八路军侦察队员押到陈堡北堤河，用刺刀戳死后深埋河底，另两名同志惨害于辉县南关文昌阁[reference:39]","待考"
"辉县","李尚贤等九人","汉奸","1944年辉县抗日政府对李尚贤等九名汉奸处以极刑[reference:40]","1944年被辉县抗日政府处决[reference:41]"
"汲县（今卫辉市）","徐世芳","汲县维持会会长","日军宣抚班进入汲县后，出任由日军主持成立的汲县维持会会长，公然投靠日寇[reference:42]","待考"
"汲县（今卫辉市）","张青山","日伪皇协军司令","在汲县当上日伪汉奸皇协军司令[reference:43]","待考"
"原阳县","佚名（投靠日军的国民党军豫北挺进军第2纵队第6支队）","伪军部队","1945年6月，勾结原武、阳武两地日伪军和其他杂牌股匪共2000多人，在原阳县官厂乡判官村一带对原阳县抗日民主政府及其武装发动大规模进攻[reference:44]","待考"
