"地区","姓名","职务","主要罪行","结局"
"武汉（伪湖北省）","何佩瑢","伪武汉维持会会长→伪湖北省省长","湖北建始人[reference:5]。1938年10月日军占领武汉后投敌，组织武汉维持会任会长[reference:6]；1939年11月任伪湖北省省长[reference:7]；1940年成立“中华民国共和党”任总裁[reference:8][reference:9]；集湖北军政大权于一身，效忠日伪[reference:10]","1942年6月6日被日军毒死[reference:11][reference:12]"
"武汉（伪湖北省）","杨揆一","汪伪参谋本部政务次长→伪湖北省政府主席","湖北鹤峰人，生于武昌[reference:13]。1940年任汪伪参谋本部政务次长[reference:14]；1942年6月任湖北省政府主席兼保安司令[reference:15]；与日军签订《关于治安肃止日本军与中国方面治安机关相互关系之协定》[reference:16]","1946年春在南京雨花台以汉奸罪被国民政府处决[reference:17][reference:18]"
"武汉（伪湖北省）","叶蓬","汪伪武汉绥靖公署主任→伪湖北省政府主席","湖北黄陂人[reference:19]。1939年加入汪精卫汉奸集团[reference:20]；1941年任伪武汉绥靖主任公署主任[reference:21]；1945年3月复任伪武汉绥靖主任公署主任兼伪湖北省政府主席[reference:22]；垄断食盐、贩卖鸦片、搜刮民财[reference:23]","1946年10月1日被捕[reference:24]；同年冬经国民政府高等法院判处死刑，就地枪决[reference:25][reference:26]"
"武汉（伪武汉市政府）","张仁蠡","伪武汉特别市政府市长","张之洞第十三子[reference:27]。1935年任伪冀东防共自治政府民政厅长[reference:28]；1939年4月任伪武汉特别市政府首任市长[reference:29][reference:30]","1951年以汉奸罪在北京被判处死刑[reference:31]"
"武汉（伪武汉市政府）","石星川","伪武汉参议府副议长→伪汉口市市长","湖北阳新人[reference:32]。1939年4月任伪武汉特别市政府参议府副议长[reference:33]；1940年10月出任伪汉口市市长[reference:34][reference:35]；与何佩瑢、张仁蠡、雷寿荣并称湖北“四大汉奸”[reference:36][reference:37]","1946年4月7日被判处死刑，后减为无期徒刑[reference:38]；1948年7月死于狱中[reference:39]"
"武汉（伪武汉市政府）","雷寿荣","伪湖北省政府委员、武汉青年协会会长","湖北武昌人[reference:40]。1939年参与筹备伪湖北省政府[reference:41]；次年任伪省政府委员，兼任日伪控制的武汉青年协会会长[reference:42][reference:43]；与石星川、何佩瑢、张仁蠡并称湖北“四大汉奸”[reference:44][reference:45]","待考"
"武汉（伪湖北省）","贺遐昌","伪省市府秘书长、伪武汉参议府参议","湖北竹溪人[reference:46]。何佩瑢死后代理湖北省政府主席数月[reference:47]","1945年10月被逮捕[reference:48]"
"武汉（伪武汉市政府）","杨恩霨","伪武汉特别市政府秘书长","1939年4月伪武汉特别市政府成立时任秘书长[reference:49]","待考"
"武汉（伪武汉市政府）","计国桢","伪武汉治安维持会会长","1938年武汉沦陷后先由计国桢组织治安维持会[reference:50]；推戴张仁蠡任伪武汉特别市政府市长[reference:51]","待考"
"武汉（伪军）","邹平凡","伪第十四军军长→武汉守备军总指挥","汪伪军头目[reference:52]；1945年8月26日被蒋介石任命为陆军新编第二十一军军长兼武汉守备军总指挥[reference:53]","待考"
