"地区","姓名","职务","主要罪行","结局"
"灵宝县","郝鹏举","汪伪政权军政部中将次长、伪淮海省省长、徐州绥靖公署主任","河南灵宝县城郝家巷人[reference:1]。1941年公开投靠汪伪政权[reference:2]，历任伪军政部中将次长、伪淮海省省长等职[reference:3]，推行奴化教育、搜刮民财、编练伪军，持续进攻新四军，为祸徐海地区[reference:4]","1946年1月率部起义，1947年1月叛变投蒋[reference:5]；同年2月被解放军生擒[reference:6]；4月在押解途中逃跑被击毙[reference:7]"
"灵宝县","许东明","汉奸匪首","灵宝县虢略镇人，地主出身[reference:8]。抗战时期投靠日本人做汉奸[reference:9]。在灵宝战役中率五百余匪徒偷袭抗日游击队战地医院，屠杀二百余名重伤员及医护人员[reference:10]","日本投降后被抗日游击队击毙[reference:11]"
"陕县","郭毓贤","日伪陕县县长","陕县沦陷后出任日伪县长[reference:12]","1945年8月日本投降后逃过黄河[reference:13]"
"陕县","秦生富","日伪黄州建国军司令","日伪武装头目[reference:14]。1945年农历三月在硖石召开策反会，勾结军统特务策动叛乱[reference:15]","待考"
"陕县","马乘龙","日伪特务","日伪特务[reference:16]。参与秦生富策反活动，向周子涛送信督促其行动[reference:17]","待考"
"陕县","陈仰止","日伪黄洲建国党书记长","日伪特务组织头目[reference:18]","1945年8月日本投降后逃过黄河[reference:19]"
"陕县","张克俊","蒋军陕县县长（与日伪勾结）","国民党陕县县长[reference:20]。1945年从灵宝经南山潜到宫前南川，召集匪首部署向宫前解放区进攻[reference:21]","待考"
"陕县","周子涛","陕县警卫中队中队长（已投敌）","原陕县抗日民主政府警卫中队中队长[reference:22][reference:23]。1945年5月26日在柳沟村召开秘密会议，勾结日伪、军统策划叛乱[reference:24]；5月28日率部发动“王彦事变”[reference:25]","待考（豫西事变参与者）"
"陕县","史汉三","陕渑抗日独立大队大队长（已投敌）","原陕渑抗日独立大队大队长[reference:26]。参加秦生富在硖石召开的策反会[reference:27]；1945年5月28日发动叛乱[reference:28]","待考（豫西事变参与者）"
"陕县","周振标","陕渑抗日独立大队中队长（已投敌）","史汉三下属中队长[reference:29]。参与周子涛、史汉三叛乱[reference:30]","待考"
"陕县","范明伦","陕渑抗日独立大队中队长（已投敌）","史汉三下属中队长[reference:31]。参与周子涛、史汉三叛乱[reference:32]","待考"
"陕县","上官汉三","陕渑抗日独立大队中队长（已投敌）","史汉三下属中队长[reference:33]。参与周子涛、史汉三叛乱[reference:34]","待考"
"陕县","张希良","反动士绅（伪装抗日）","根据地内反动士绅[reference:35]，伪装革命参加“三三制”抗日政权[reference:36]，后参与“王彦事变”[reference:37]","待考"
"陕县","李正义","反动士绅（伪装抗日）","根据地内反动士绅[reference:38]，伪装革命参加“三三制”抗日政权[reference:39]，后参与“王彦事变”[reference:40]","待考"
"渑池县","上官子平","八路军独立第七旅旅长兼渑池县长（已叛变）","渑池本地人，地主家庭出身[reference:41]，曾任国民党渑池县警察局长、地方自卫队司令[reference:42]。1945年被收编为八路军独立第七旅旅长兼渑池县长[reference:44]。1945年5月26日发动“豫西事变”叛变[reference:45]，捕杀八路军干部和战士[reference:46]","在八路军围剿下吞鸦片自尽[reference:47]"
"渑池县","王舟平","八路军独立第七旅政委（被害）","中共派往上官子平部任政委兼渑池县委书记[reference:48]。在上官子平叛乱中被杀害[reference:49]","1945年5月在上官子平叛乱中牺牲"
"渑池县","张君英","渑池县副县长（被害）","中共派往渑池县任副县长[reference:50]。在上官子平叛乱中被杀害[reference:51]","1945年5月在上官子平叛乱中牺牲"
"渑池县","白云","八路军干部（被害）","八路军派往上官子平部的干部[reference:52]。在上官子平叛乱中被杀害[reference:53]","1945年5月在上官子平叛乱中牺牲"
"卢氏县","（佚名汉奸）","汉奸、伪军","1945年5月，日军“铃木师团”和汉奸、伪军约万余人由陕州曹庙方面分两路进攻卢氏[reference:54][reference:55]","待考"
"阌乡县","（佚名汉奸）","汉奸","阌乡县（今属灵宝）一带汉奸武装，配合日军在豫西地区活动","待考"
