"地区","姓名","职务","主要罪行","结局"
"鹤壁（浚县/淇县/汤阴）","扈全禄","伪河南剿匪总司令","原为豫北老牌匪首，抗战爆发后反复摇摆，最终投降日军，被委任伪河南剿匪总司令[reference:2][reference:3]。部队活动于淇县、浚县、汤阴一带，配合日军扫荡，捕杀抗日军民，劫掠乡村[reference:4]。其主力多次遭八路军打击，屡次溃败又死灰复燃[reference:5]","抗战结束后依附国民党顽军继续作恶，新乡解放时被俘，在狱中畏罪自缢[reference:6]"
"鹤壁（浚县）","孙步月","豫北剿共副司令、浚滑内黄3县边区反共自卫团团长","1938年秋投靠日寇，组建浚、滑、内黄3县边区反共自卫团，被日寇封为“豫北剿共副司令”[reference:7][reference:8]。以郭小寨为中心构建大型伪军据点，多次配合日军对沙区抗日根据地进行扫荡[reference:9][reference:10]。先后杀害革命干部及群众420余人，烧毁房屋3000余间[reference:11]","1945年4月，冀鲁豫军区发起讨伐战斗，经三昼夜激战，其主力被八路军彻底歼灭，孙步月本人在战斗中被俘，随后依法惩处[reference:12][reference:13]。善堂镇烈士纪念碑前雕有双手反缚、双腿下跪、背插亡命旗石像，即孙步月[reference:14][reference:15]"
"鹤壁（浚县）","孙炳真","汉奸（孙步月部属）","与孙步月一同为日军效力，参与残害抗日军民[reference:16][reference:17]","与孙步月一同被惩处，善堂镇烈士纪念碑前有其跪像[reference:18][reference:19]"
"鹤壁（淇县）","李埏（李诞）","伪职（原国民党淇县县长）","原为国民党淇县县长，时局恶化后叛国投敌，出任伪职，盘踞老寨山，搜刮百姓，镇压地方抗日力量[reference:20][reference:21]。1943年在汉奸刘月亭、王跃南策划下投降日军，被编为淇县保安团[reference:22]","抗日武装发起进攻，将其赶出山区据点，退守淇县县城。抗战胜利后继续依附国民党，豫北解放后被抓获归案，接受人民审判[reference:23]"
"鹤壁（淇县）","王跃南","大汉奸","1938年2月13日，日军占领淇县城时，打开城门迎接日军进驻县城[reference:24][reference:25]。1943年参与策划李埏投降日军[reference:26]","待考"
"鹤壁（淇县）","薄彩云","淇县伪警备司令","指挥伪警备队伍，协助日军管控县城，下乡清乡、抓捕爱国群众[reference:27]","日军投降后，继续跟随国民党地方武装顽抗，随着豫北全境解放，伪军体系土崩瓦解，薄彩云被依法审判[reference:28]"
"鹤壁（淇县）","杨富","汉奸（原国民党高村镇镇长）","淇县庙口乡郭湾村人[reference:29]。1944年与扈全禄一同投降日军当汉奸[reference:30][reference:31]。带匪兵烧杀抢掠，活埋村民，抢粮抢牲口，无恶不作[reference:32]","解放战争期间继续作恶，后被我军活捉[reference:33][reference:34]"
"鹤壁（淇县）","李国秀","汉奸","淇县城南关人，1938年2月13日日军侵占淇县后，千方百计当上汉奸，挖空心思给日本主子效劳，阳奉阴违，心狠手辣，办了很多欺压百姓的坏事[reference:35]","待考"
"鹤壁（淇县）","吕四井","汉奸","抗日战争时期在淇县西部山区为日军效力，人民群众中流传有骂汉奸吕四井的打油诗[reference:36]","待考"
"鹤壁（淇县）","晋太平","汉奸","与吕四井一同在淇县西部山区充当汉奸[reference:37]","待考"
"鹤壁（淇县）","苗文田","铁杆汉奸、日本特务股人员","日本特务股的铁杆汉奸，作恶多端[reference:38]","待考"
"鹤壁（淇县）","刘月亭","汉奸","汉奸，1943年参与策划李埏投降日军[reference:39]。在汤阴攻城战中侥幸钻城墙根狗洞逃走[reference:40]","待考"
"鹤壁（汤阴）","汪怀秘（汪怀密）","汉奸、黄旗会长、彰汤联防自卫团团长","豫北悍匪，黄旗会会首[reference:41]。横行霸道于汤阴一带，其爪牙常到皇甫一带抢劫[reference:42][reference:43]。用重金贿赂汤阴伪县长张允行和日军辅佐官柳泽清[reference:44]。活动于安阳与汤阴交界处53个村庄[reference:45]","待考（解放战争时期仍与国民党反动武装勾结[reference:46]）"
"鹤壁（汤阴）","张允行","汤阴县伪县长","汤阴县伪县长，接受汪怀秘重金贿赂，压制抗日力量[reference:47]","待考"
"鹤壁（汤阴）","张文华","皇协军队长","1939年多次带领伪军到东江窑村催逼粮款，强迫村民交出保家护村枪支[reference:48][reference:49]","待考"
"鹤壁（汤阴）","苏伯寅","伪县政府民政科员、第一区区员","汤阴城内恶霸地主，曾任伪县政府民政科员、第一区区员，实际掌握区政权[reference:50]","解放后被群众打倒[reference:51]"
"鹤壁（鹤壁集/鹿楼）","仝桂林","太行剿共总司令、孙真会首领","鹤壁东头村人[reference:52]。掌控孙真会会门武装，投靠日军充当伪治安力量[reference:53][reference:54]。盘踞鹤壁西部山区，破坏抗日政权，捕杀八路军人员与进步群众，残酷杀害共产党员和抗日军民[reference:55][reference:56][reference:57]","抗日武装多次对其开展军事与政治斗争，瓦解其部众，最终仝桂林被抓捕镇压[reference:58][reference:59]"
"鹤壁（鹤壁集/鹿楼）","牛万山","曾附逆投敌（前期有抗日行动）","大河涧牛横岭人，前期有抗日行动，后来曾附逆投敌[reference:60]","1975年获特赦后在鹤壁工作，最终正常病逝[reference:61]"
