"地区","姓名","职务","主要罪行","结局"
"焦作城区","李希德（字润身，阎河村人）","焦作维持会会长（原焦作商会会长）","1938年2月日军侵占焦作后投靠日军，任焦作维持会会长，为日军维持殖民统治，焦作矿区进入更加黑暗的时期[reference:2][reference:3][reference:4]","待考"
"温县","王太春","温县维持会会长（后投皇协军）","1938年2月亲到博爱迎接日军安田部入温，成立维持会任会长，勒令各保选美女数百人组成“艳花团”慰劳日军；1942年投皇协军，是温县最可耻的汉奸之一[reference:5][reference:6][reference:7][reference:8]","1945年温县解放后伪装积极隐瞒历史；反奸反霸运动开始后畏罪逃亡；1950年病死漯河[reference:9]"
"温县","张文蔚","汉奸（温县）","与王太春一同到博爱迎接日军安田部入温，将日军引入温县[reference:10][reference:11][reference:12]","待考"
"武陟","王高峰","木栾店商会会长（兼武陟县商会会长）","1938年4月凭借商团武装200多人投靠日军，企图在武陟组织维持会[reference:13][reference:14][reference:15]；定做膏药旗迎接日军，摊派商户钱粮[reference:16]","被八路军129师补充团收缴全部枪支；以汉奸罪判处死刑，押至太行山枪决[reference:17][reference:18][reference:19]"
"武陟","孙介眉","木栾店大地主汉奸","与王高峰一同投靠日军，企图在武陟组织维持会[reference:20][reference:21][reference:22]","被八路军抄家，没收全部家产[reference:23][reference:24]"
"武陟","丁钟生","伪武陟县长","1938年2月日军占领新乡后，曾派伪县长丁钟生找鲁定华签合同经营成兴纱厂[reference:25]","待考"
"沁阳","李端章（字文甫，西王召村人）","皇协军团长→伪河南省保安第1师第2旅旅长→伪第二师少将参议→中央清化先遣军司令兼21师师长","1938年日军侵占沁阳后以抗日之名组建自卫团，后与日军勾结组成皇协军[reference:26][reference:27]；用金钱贿赂日本翻译官、四姨太引诱讨好日军侵沁队长吉岗并拜为义父[reference:28]；队伍发展到数百人[reference:29]；盘踞沁阳8年，全县死于日伪祸害群众4万多人[reference:30]；掘开沁河大堤企图阻止八路军，致多村遭受水灾[reference:31]；温县、孟县、济源、焦作、博爱等县汉奸、恶霸相继逃入沁阳[reference:32][reference:33]","1945年日本投降后拒绝向八路军投诚，杀害谈判人员[reference:34]；被蒋介石改编为“中央清化先遣军”[reference:35]；1945年11月8日沁阳攻城战中被击毙[reference:36]"
"沁阳","李太源","日本翻译官（朝鲜人）","为李端章与日军之间牵线搭桥，收受李端章金钱贿赂[reference:37]","待考"
"沁阳","董连凯（老董）","汉奸（沁阳）","作恶多端的汉奸，在毛岭一带臭名昭著[reference:38]","待考"
"济源","李正德","济源皇协军司令","豫北占山为王的大土匪，抗战初期伪装抗日，不久叛国投敌，盘踞太行山南麓尚庄[reference:39]","待考"
"济源","张伯华","伪军头目（铁杆汉奸）","盘踞尚庄以南杨庄、毛庄（孟县属），阴险狡诈，是铁杆汉奸[reference:40]","待考"
"济源","赵则亮","日寇密探队成员（铁杆汉奸）","日寇组织的以金翻译官和赵则亮为首的密探队，专门刺探杜八联自卫团消息，为日军提供情报[reference:41][reference:42]","待考"
"济源","金翻译官","日寇密探队头目","与赵则亮组织密探队，刺探杜八联自卫团情报[reference:43][reference:44]","待考"
"济源","孔宪甫","汉奸","1945年抗战胜利前夕与日军勾结暗杀抗日志士，埋伏在李六庄路边将执行任务的孔庆华暗杀[reference:45][reference:46]","待考"
"济源","王瞪眼（姓王，绰号）","日军据点监工汉奸","1941年在邵原李凹村一带为日军当监工，心狠手辣，动不动就打骂支差民夫[reference:47]","待考"
"修武","刘明德","伪军头目（汉奸）","1943年日伪顽匪合流，刘明德率匪部公开投降日寇当了汉奸[reference:48]","待考"
"修武","武元贵","汉奸特务","修武四区蚕平编村汉奸特务分子，伪装积极混入民兵组织，诱胁群众打死荣誉军人老韩[reference:49]","被群众揭发控诉后执行枪决[reference:50]"
"修武","武元具","汉奸特务","与武元贵一同伪装积极混入民兵组织，诱胁群众打死荣誉军人老韩[reference:51]","被群众揭发控诉后执行枪决[reference:52]"
"博爱","（博爱汉奸）","博爱维持会成员","日军侵占博爱后，当地汉奸成立维持会为日军服务[reference:53]","待考"
"孟县","（孟县汉奸）","孟县维持会成员","1938年1月日军侵占孟县县城后，收罗扶持汉奸拼凑维持会，两个月后改为伪县政府[reference:54]","待考"
"孟县","艾敬之","桑坡村办事处书记（兴亚回教青年团）","孟县桑坡皮货商，因受日伪、蒋伪县长两头派捐，成立当地“兴亚回教青年团”（实为日军默许）发展武装[reference:55]","待考"
"焦作地区","刘昌义","原豫北游击队少将司令","1940年在温县被日军重重围困后率部向日军投降，从抗日英雄成了大汉奸[reference:56]","待考"
