"地区","姓名","职务","主要罪行","结局"
"商丘（豫东）","张岚峰（张岚锋）","伪豫东招抚使→伪和平救国军第1军中将军长→伪第2集团军总司令→伪第4方面军中将总司令","柘城县人，原西北军将领，曾留学日本陆军士官学校[reference:0][reference:1]。1937年回乡组建“柘城维持会”，公然投靠日寇[reference:2][reference:3]。1938年在商丘设“豫东招抚使公署”，沿陇海路招募土匪流民，很快聚集4个军近1.8万人[reference:4][reference:5]。1943年任伪第2集团军总司令，1944年升伪第4方面军中将总司令，麾下扩充至9万余人，是河南省伪军中规模最大的力量[reference:6]","1952年被人民政府处决[reference:7]"
"商丘","王墨庄","伪豫东道道尹","1939年6月1日，日伪在商丘成立伪豫东道公署，王墨庄任道尹，统辖豫东十余县伪政权[reference:8][reference:9]","待考"
"商丘","（伪豫东道公署官员）","伪豫东道公署各级官员","伪豫东道公署设于商丘，统辖商丘、永城、夏邑、虞城、柘城、宁陵、睢县、民权等县伪政权，推行保甲制度，配合日军“治安强化”运动，横征暴敛[reference:10]","待考"
"商丘","曹大中","伪和平救国军第1路司令","张岚峰部属。1940年6月29日率部反正，脱离伪军[reference:11][reference:12]","反正"
"商丘","宋克宾","伪和平救国军第2路司令","张岚峰部属。1940年6月29日率部反正，脱离伪军[reference:13][reference:14]","反正"
"商丘","孙敬轩","伪和平救国军第3路司令","张岚峰部属。1940年6月29日率部反正，脱离伪军[reference:15][reference:16]","反正"
"商丘","蒋心亮","商丘土顽（汉奸）","商丘土顽，勾结刘子仁部及日伪军围剿八路军，投靠日军当汉奸[reference:17]","待考"
"商丘","蒋心纯","商丘土顽（汉奸）","商丘土顽，与蒋心亮一同投靠日军当汉奸，在永夏地区推行日寇“三光”政策[reference:18][reference:19]","待考"
"商丘","（乐园部队）","汉奸组织","1941年敌在商丘成立汉奸组织“乐园部队”，1941年下半年又成立外围组织“和猛工作队”，触角伸到永夏地区，在县、区、镇、保、甲设各级指挥部，配合日寇搞“治安强化”，监视、逮捕和杀害共产党人和进步人士[reference:20]","待考"
"永城","刘子仁","永城县伪县长","永城人，原名刘德良，后改刘俊良[reference:21]。1939年加入中国共产党，年末投降国民党，次年又叛变投日，任永城县伪县长[reference:22][reference:23]。发行永城县流通券，面额五角至二十五元，发行总额达5000余万元，使百姓深受其害[reference:24]。勾结夏邑土顽祁炎勋、商丘土顽蒋心亮、蒋心纯及顽军骑三师，围剿八路军[reference:25]","1951年以历史罪被判处死刑[reference:26][reference:27]"
"永城","窦殿臣","汉奸","永城土顽，公开打日伪旗号，投靠日军当汉奸，在永夏地区推行日寇“三光”政策，制造白色恐怖[reference:28]","待考"
"永城","窦传杰","汉奸","永城土顽，与窦殿臣一同投靠日军当汉奸[reference:29]","待考"
"永城","李杰士","汉奸","原刘子仁部属，投靠日军当汉奸[reference:30]","待考"
"永城","王建功","汉奸","原刘子仁部属，投靠日军当汉奸[reference:31]","待考"
"夏邑","李元甫","太平区伪区长","夏邑县太平集地主，平日欺压百姓。以抗日为由招兵买马，组织200多人武装，后被驻夏邑县城的日军顾问小竹阳太郎委任为太平区伪区长[reference:32]","待考"
"夏邑","李光福","太平区伪区队长","李元甫族弟，被李元甫委任为伪区队长[reference:33]","待考"
"夏邑","丁世平","夏邑县伪县长","以朋友名义写信劝降抗日志士冉昭德，被冉昭德痛斥：“我是中国人，决不当亡国奴，更不能像你那样去当汉奸，落个万世骂名！”[reference:34]","待考"
"夏邑","祁炎勋","夏邑土顽（汉奸）","夏邑土顽，勾结刘子仁部围剿八路军，投靠日军当汉奸[reference:35][reference:36]","待考"
"虞城","（佚名）","虞城县伪县长","虞城县伪县长，带领伪军固守县城，经常派小股部队搞伪化宣传，骚扰群众，破坏抗日民族统一战线[reference:37]","待考"
"柘城","张岚峰","柘城维持会创始人","1937年回乡召集当地大绅商和武装大地主开会，组建“柘城维持会”，公然投靠日寇[reference:38][reference:39]","见上（张岚峰）"
"柘城","张俊峰","柘城维持会成员","张岚峰之弟，随张岚峰组建柘城维持会[reference:40]","被日军杀害（因一次小纠纷被日军刺刀开膛破肚）[reference:41]"
"睢县","杨乃芝","伪睢县督察长","为报杀父之仇投靠日寇，被日寇委任为伪睢县督察长。1938年9月，引日军袭击农民自卫队驻地，造成78人遇害[reference:42]","待考"
"睢县","董蔚亭","伪匪头目","霸占睢县潮庄一带，为日伪效力，后被八路军沈东平、王其梅部消灭400多人[reference:43]","被八路军消灭"
"睢县","李国吉","龙塘区伪区长","睢县皇台东北赵楼村劣绅，被伪乡长李仰荣之父提升为龙塘区伪区长[reference:44]","待考"
"睢县","李仰荣","伪乡长","睢县皇台东北赵楼村人，其父李国吉是地方上有名的劣绅。父子俩为敌伪效忠[reference:45]","待考"
"宁陵","牛之佩","汉奸（白王会）","1940年在宁陵县城建立白王会（汉奸组织），乡间地主纷纷效法[reference:46][reference:47]","待考"
"民权","贾宪德","伪保安大队长","民权县伪保安大队长，盘踞杨城据点。1945年7月八路军发起强攻，经6小时激战全歼守敌，贾宪德被俘虏[reference:48]","被俘虏"
"民权","杨芳五","伪六区区长","民权县伪六区区长，与贾宪德一同被八路军俘虏[reference:49]","被俘虏"
