"地区","姓名","职务/身份","主要罪行","结局"
"岳阳县城","费竹如","岳州自治会会长→岳州治安维持会会长","岳阳沦陷前即潜赴武汉与日军接头[reference:3]；沦陷后次日即公开出面组织岳州自治会[reference:4]；后任岳州治安维持会会长[reference:5]。为向日军交差，不惜将自己的女儿和亲友的女儿送入慰安所[reference:6]","待考"
"岳阳县城","周勉之","岳州自治会副会长→岳州治安维持会副会长","与费竹如一同在岳阳沦陷前赴武汉与日军接头[reference:7]；沦陷后次日公开出面组织岳州自治会，自任副会长[reference:8]","待考"
"岳阳县","方大垓（方大陔/方畅久）","伪岳阳县政府筹备处处长→伪岳阳县长","前岳阳县中学校长[reference:9]。1939年9月任日伪岳阳县政府筹备处处长[reference:10]；1941年1月筹备处改组为日伪岳阳县政府后任县长[reference:11][reference:12]","待考"
"岳阳县","李瑞真（李瑞臻）","伪岳阳县长","1943年接替方大垓任伪岳阳县长，直至日本投降[reference:13][reference:14]","待考"
"岳阳县","冯宜伯","伪岳阳县政府主任秘书","伪岳阳县政府主任秘书，为汉奸政权核心成员[reference:15]","待考"
"岳阳洪山","李永寿","汉奸（告密者）","1942年向日军夸大胡春台游击队的实力，诬控洪山、昆山、三旗港等地为“游匪成员”[reference:16][reference:17]；唆使日军第6师团师团长神田正种进行报复[reference:18]，直接导致“洪山血案”发生——日军屠杀无辜群众1800余人、强奸妇女598名、烧毁房屋2186间[reference:19]","抗战胜利后逃匿[reference:20]；新中国成立后被追捕[reference:21]"
"岳阳洪山","魏新民","汉奸（告密者）","与李永寿一同向日军谎报军情，诬控洪山、昆山、三旗港等地是“游匪”聚集区[reference:22][reference:23]，怂恿日军制造“洪山血案”","待考"
"岳阳","金钩胡子（绰号）","伪秘稽队长","水匪出身，手下百十号人枪[reference:24]。投靠费竹如后与日军接上头[reference:25]；费竹如任维持会长后，其任秘稽队长[reference:26]","待考"
"岳阳","张永福","日军密稽队队长","日军密稽队队长，为日军搜集情报、抓捕抗日人员","被汤赐珊生擒[reference:27]"
"岳阳","姚文初","地主汉奸","岳阳县地主，投靠日军充当汉奸","被汤赐珊活捉[reference:28]"
"岳阳麻塘","姜楚生","麻塘维持会会长","麻塘日伪维持会会长","被汤赐珊诱降[reference:29]"
"岳阳","张和春","汉奸","为日军效力的汉奸","被汤赐珊佯装投日活捉[reference:30]"
"岳阳","费平荣","密侦队队长","日军密侦队队长，为日军搜集情报","被汤赐珊活捉[reference:31]"
"临湘县","王旦初","伪临湘总维持会总会长→伪临湘县长","临湘沦陷后勾结日军组织总维持会，自任总会长[reference:32][reference:33]。1939年12月任伪临湘县政府筹备处处长[reference:34]；1940年6月筹备处改为伪县政府后任县长[reference:35][reference:36]","1942年2月被免职[reference:37]；后因汉奸罪被判处有期徒刑8年[reference:38]"
"临湘县","沈峨僧","伪临湘县长","1942年2月接替王旦初任伪临湘县长[reference:39]","待考"
"临湘县","曾得庸","伪保安队长","伪临湘县保安大队队长，为日军维持地方治安[reference:40]","待考"
"临湘县","卿松甫","伪警察局长","伪临湘县警察局局长[reference:41]","待考"
"临湘县","李希才","日伪维持会会长","临湘县日伪维持会会长，罪大恶极","1941年2月被临湘游击队在大岭口处决[reference:42][reference:43][reference:44]"
"临湘县","何学凤","伪县政府出纳","伪临湘县政府出纳[reference:45]","待考"
"湘阴县","左钦彝（左八）","湘阴县维持会会长→兴中会会长→伪湘阴县长","1885年生[reference:46]。1944年5月日军侵占湘阴后被地方绅士推为维持会会长[reference:47][reference:48]；7月改为“兴中会”后任会长[reference:49]；年底改为伪湘阴县政府后任县长，自兼保安总队司令[reference:50][reference:51]。以洪帮为基础组织了一支3000人的保安大队[reference:52]","1945年4月被八路军南下支队策反[reference:53]，此后“人在曹营心在汉”，暗地配合抗日[reference:54]。1947年10月在押返湘阴途中被军统特务枪杀[reference:55]"
"湘阴县","杨光赞","日语翻译（日军安插人员）","日军安插在左钦彝身边监视其行动的日语翻译","被左钦彝以“强奸掳抢罪”枪决[reference:56][reference:57]"
"湘阴县","苏彪","土匪头子（汉奸）","横行湘阴县东乡一带的土匪头子，与日军勾结","被左钦彝处决[reference:58][reference:59]"
"华容县","谢振华（谢振圃/谢觉望）","华容县维持会会长→伪华容县长","1943年3月日军侵占华容后出任华容县维持会会长[reference:60][reference:61]；1944年春伪华容县政府成立后任县长[reference:62]","待考"
"华容县","吴国璋","华容县维持会副会长","与谢振华分任华容县维持会正、副会长[reference:63]","待考"
"华容县","齐勒甫","汉奸","日伪横行华容时的汉奸，曾多次劝说当地士绅投靠日伪[reference:64]","待考"
"平江县","王鹿宾","平江县维持会首任会长","1939年5月日军侵占平江县城后成立的平江县维持会首任会长[reference:65]","待考"
"平江县","和致中（译名）","平江县维持会继任会长","西班牙神父，继王鹿宾之后任平江县维持会会长[reference:66]","待考"
"平江县","熊汉生","平江县维持会后任会长","接替和致中任平江县维持会会长[reference:67]","待考"
"岳阳","（18名汉奸）","汉奸","日军侵占岳阳前夕，与日本特务勾结，被岳阳县政府查获","1938年11月岳阳沦陷前夕被县长阮湘下令处决[reference:68][reference:69]"
"岳阳","（38名汉奸）","汉奸（施放信号）","日军轰炸岳阳时施放信号为日机指引目标","被保安一区司令部处决[reference:70]"
