"地区","姓名","职务","主要罪行","结局"
"许昌县","徐立吾","北洋政府众议院议员、河南经制豫军总司令（1944年投敌）","长村张乡大地主。民国7至9年（1918至1920年）任北洋政府众议院议员，曾任河南督军赵倜第一混成旅旅长。1944年投靠日军，成为许昌头号汉奸","待考"
"许昌县","姜子和","许昌县维持会会长","1944年5月日军占领许昌后，被日军物色出任维持会会长，为日军维持殖民统治","待考"
"许昌县","吴泽沛","大地主（附逆）","许昌县榆林乡大地主，吴家30口人占有土地1000多亩，房屋50余间。抗战期间附逆投靠日军","待考"
"许昌县","佚名汉奸","日伪汉奸","1945年5月，蒋介民在许昌县椹涧乡参加秘密会议时，遭日伪汉奸及日本兵围剿，壮烈牺牲","待考"
"长葛县","袁正卿","长葛县维持会会长","1944年4月22日日军侵占长葛后，月底成立维持会，出任会长","待考"
"长葛县","武俊甫","长葛县维持会副会长","与袁正卿一同组建长葛维持会，任副会长","待考"
"长葛县","关俊甫","长葛县维持会会长（另一说）","史料记载长葛县维持会长为袁正卿、关俊甫，可能与袁正卿先后或同时任职","待考"
"长葛县","尚少白","日伪皇协军队长","1944年5月，率一百多伪军与日军小队长村野包围贾集村公所，威逼村民交出护庄枪支","在贾集村伏击战中逃脱"
"长葛县","田金锡","日伪汉奸组织头目","在陉山设有庙堂、赌场，勾结汉奸，收买流氓，为日军效力[reference:2]","1938年11月，被中共长葛县委组织武装力量摧毁[reference:3]"
"长葛县","金老六","日伪汉奸组织头目","与田金锡一同组建日伪汉奸组织，为日军服务[reference:4]","1938年11月被摧毁[reference:5]"
"长葛县","黄大麻子","日伪汉奸组织头目","与田金锡、金老六一同组建日伪汉奸组织","1938年11月被摧毁[reference:6]"
"长葛县","陈秀峰","大汉奸","罪大恶极的汉奸。1944年农历四月二十二日，抗日游击队在长葛路庄驻防时被奸细告密，陈秀峰率匪兵包围村庄，杀害朱绍曾、李清河等33名抗日游击队员，制造“王庄惨案”[reference:7]","待考（抗日游击队曾围歼未果）[reference:8]"
"禹县（今禹州）","席子遒（席子猷）","原国民党禹县县长→禹县日伪维持会长、保安团长","原国民党禹县县长，日寇侵占禹县后摇身一变投靠日本人，任维持会长、保安团长，手下有近3000匪兵，死心塌地效忠日军[reference:9]。盘踞禹县，纠集禹、襄、郏、临汝等县土匪，企图摧毁抗日根据地[reference:10]","待考"
"禹县（今禹州）","铃木正嘉","日军指导官（日本籍，关联人物）","驻禹县日军指导官，集结禹境所有日军，将城防交给汉奸伪军","日本投降后率日军去许昌集体投降[reference:11]"
"鄢陵县","王评","鄢陵县维持会会长","1944年6月4日日军侵占鄢陵后，被日军物色出任维持会会长[reference:12]","待考"
"襄城县","刘万昌","襄城县县长（汉奸）","抗战时期任襄城县县长。向第五战区谎报“一战区投降了”，导致第五战区用机枪扫射友军，使我军腹背受敌、伤亡惨重","后被两区人员在茶楼捉获，刘万昌供认不讳，当场被枪决[reference:13][reference:14]"
"襄城县","尚恭谦","襄北尚寨劣绅汉奸","襄北尚寨劣绅，主动给日军通风报信，袭扰地方[reference:15]","待考"
"襄城县","尚恭让","襄北尚寨劣绅汉奸","与尚恭谦一同为日军通风报信，袭扰地方[reference:16]","待考"
"许昌地区","石友三","伪三十九集团军总司令（原国民党冀察战区第十军团）","盘踞豫北、冀南一带，1940年投靠日本当汉奸，与日军签订“共同防共协定”。百姓流传歌谣：“石友三，大汉奸，给日本，把事办”","1940年12月1日，被部下高树勋诱捕后活埋"
"许昌地区","孙良诚","伪第二方面军总司令（原国民党鲁西行署主任）","原西北军将领，抗战期间投日当汉奸，率伪军控制豫北、鲁西广大地区","1945年日本投降后投靠国民党，解放战争中被俘"
