"地区","姓名","职务","主要罪行","结局"
"宜昌城区","蓝祯白（蓝祯白）","伪宜昌县中央治安维持会会长","宜昌沦陷后，日寇随军特务机关长崛川芳雄胁迫引诱一些奸佞之徒，在中书街设伪宜昌县中央治安维持会[reference:0]，蓝祯白任会长[reference:1]。1941年2月伪维持会撤销后，改任合作社社长[reference:2]","抗战胜利后经国民党审查无劣迹释放；解放后被公安局传唤调查，经多方查证认为其在日伪时期“抱定不坑人不害人的宗旨”，予以释放[reference:3]"
"宜昌城区","王子泉（王子权）","伪宜昌县中央治安维持会副会长","宜昌籍，1940年6月与蓝祯白分任伪维持会正副会长[reference:4]。1941年2月伪维持会撤销后，调任董市任区长[reference:5]","待考"
"宜昌城区","宋仲佳","伪宜昌县县长","1941年2月任伪县政筹备处处长，不久代理伪宜昌县县长，同年3月30日成立伪宜昌县政府[reference:6]。任职不足三个月，一次坐包车出大南门哨卡时未向日军行礼，被日本兵打了几个耳光并辱骂，回公馆后即死[reference:7]","1941年被日本兵殴打后死亡"
"宜昌城区","王虚原","伪宜昌县县长（后任）","继宋仲佳之后任伪宜昌县长。1941年9月27日，国军飞行员张惕勤、汤厚涟、梁文华驾驶苏制SB-Ⅱ轰炸机投敌，曾在宜昌铁路坝短暂停留，王虚原与日军一同前往迎接[reference:8]","抗战胜利后以“没有血债”为由被判无期徒刑，不久被其警官儿子王汝功以患病为由保释[reference:9]"
"宜昌城区","王善夫","伪组织人员","宜昌未沦陷前任市区讼棍、记者及公务员，性阴险[reference:10]。宜昌沦陷后曾赴三斗坪避难，不到一月即返回投敌。伪组织人员被王善夫报告由特务机关抓捕处死者有雷鸣等人[reference:11]","1945年9月18日，宜昌在县府广场召开庆祝抗日战争胜利大会，会后处决了王善夫等日伪汉奸[reference:12][reference:13]"
"宜昌城区","李堃","日伪汉奸","为日寇效力的汉奸","1945年9月18日被处决[reference:14]"
"宜昌城区","韩少阶","日伪汉奸","为日寇效力的汉奸","1945年9月18日被处决[reference:15]"
"宜昌城区","曹天泰","日伪汉奸","为日寇效力的汉奸","1945年9月18日被处决[reference:16]"
"宜昌城区","李斌","日伪汉奸","为日寇效力的汉奸","1945年9月18日被处决[reference:17]"
"宜昌城区","夏海清","日伪汉奸","为日寇效力的汉奸","1945年9月18日被处决[reference:18]"
"宜昌城区","汤炳如","日伪乡长、维持会长、情报所长、密侦大队长","晓溪塔郭家冲汤家湾人，出身地主，人称汤三爷[reference:19]。1940年6月宜昌沦陷后投敌，先后任日伪乡长、维持会长、合作社事务员、情报所长、密侦大队长等职[reference:20]。在梅子垭设关卡，与日寇一起盘查过卡中国人，凡过卡者由日本哨兵先问汤“他们中国人的明白？”汤若点头即能过，若歪头即被当场杀死[reference:21]。兼任合作社事务员，大量税款流入其腰包[reference:22]。1941年至1943年间多次烧杀抢劫：烧毁张开余、胡少云、徐大金等人的房屋并杀人[reference:23]；指认龙书齐为情报员，被日军用狼狗活活咬死[reference:24]；杀害杨宏义一家四口[reference:25]","待考"
"宜昌城区/宜都","杨介轩（杨大震）","宜都江北维持总会会长、宜昌第四区公署区长","宜都白洋区小冲口人（今属枝江市），以烧窑为生[reference:26]。1940年日军侵占宜都江北后，先在石宝山设维持总会任会长，下辖顾家店、张家店等多个分会；后在小冲口设维持总会仍任会长，统辖云池、古老背等地分会[reference:27]。1941年1月任紫荆岭维持会联合会会长，同年8月任宜昌第四区公署区长[reference:28]。以通国军等借口抓捕敲诈民众[reference:29]；强行侵占郑旭轩等人田地，强买张刘氏等人土地79亩[reference:30]；参与紫荆岭酒精厂设立，低价强收粮食1.82万石提炼酒精[reference:31]；为日军强征物资并强征民夫4220名[reference:32]；1944年8月杀害国民党第六战区情报人员叶子明，指使章元干暗杀区长吴家修[reference:33]","抗战胜利后被移交高等法院审判，后越狱潜逃[reference:34]；1951年被宜都县人民政府缉拿归案并处决[reference:35]"
"宜昌城区","古天明（古霸天）","大汉奸（开洋行、放高利贷）","开洋行，放高利贷，勾结日寇，欺压百姓，被人称为“古霸天”[reference:36]。是宜昌臭名昭著的大汉奸","待考（曾遭暗杀）"
"宜昌城区","周公心","宜昌伪警察局侦查大队长","日寇威逼之下，奉命侦办古天明被杀案[reference:37]","待考"
"当阳市","（佚名汉奸组织）","当阳汉奸组织","1941年5月29日，当阳汉奸组织欢迎日军[reference:38]。当阳是宜昌市下辖县级市，抗战时期有汉奸组织活动","待考"
"枝江市","（佚名汉奸）","枝江汉奸","抗战胜利后，枝江等县处决了一批汉奸[reference:39]","被处决"
"宜都市","（佚名汉奸）","宜都汉奸","抗战胜利后，宜都等县处决了一批汉奸[reference:40]","被处决"
"远安县","（佚名汉奸）","远安汉奸","远安县抗战时期有日伪汉奸活动","待考"
