"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪市政权","烟台市","张化南","伪烟台市市长（1938.1）→伪鲁东道尹兼伪烟台市市长","大连乘船窜来烟台抢先占领港区[reference:2]；被日本特务机关长武田确忠委任为伪市长[reference:3]；后加委伪鲁东道尹兼伪烟台市长[reference:4][reference:5]；任内配合日军“扫荡”百余次[reference:6]","待考"
"伪市政权","烟台市","张华南","伪烟台道尹","伪烟台道尹（一说张化南）[reference:7][reference:8]","待考"
"伪市政权","烟台市","（伪鲁东道/登州道官员）","伪鲁东道（后改登州道）各级官员","伪鲁东道管辖福山等县[reference:9]；辖济南、烟台两市及103个县级伪机关[reference:10]","待考"
"伪军头目（胶东最大汉奸）","蓬莱县（活动于莱阳）","赵保原","伪满洲国军骑兵团长→伪剿共第七路军司令→国民党暂编第十二师师长","蓬莱芦洋大赵家村人[reference:11]。早年投靠伪满大汉奸李寿山[reference:12]；1938年随日伪军入侵胶东[reference:13]；后投靠日军任伪剿共第七路军司令[reference:14]；盘踞莱阳万第[reference:15]；杀戮胶东军民数以万计[reference:16]；横征暴敛，肆意屠杀[reference:17]","1946年6月9日被胶东军区部队击毙[reference:18]"
"伪军头目（赵保原部）","莱阳（赵保原部）","赵宝龄","伪军团长（赵保原之弟）","外号“活阎王”，倚仗哥哥势力无恶不作，见到漂亮大姑娘小媳妇就抢回家，看谁不顺眼就当街射杀[reference:19]","待考"
"伪军头目","蓬莱县","郝铭传","伪蓬莱县警备大队长→伪军副司令","兵痞流氓出身[reference:20]；日军占领蓬莱后投靠日军任伪军大队长[reference:21]；后任伪军副司令[reference:22]；制造多起惨案[reference:23]；1944年假意投诚诱杀谈判代表郝斌、姚琪[reference:24]","抗战胜利后潜逃[reference:25]；被通缉[reference:26]"
"伪军头目","蓬莱县","李宏轩（李逆兆祥）","伪军司令","伪军司令[reference:27]；蓬莱大汉奸之一[reference:28]","抗战胜利后潜逃[reference:29]；被通缉[reference:30]"
"伪军头目","蓬莱县","李兆祥","伪后援会主任","蓬莱大汉奸之一[reference:31]","抗战胜利后潜逃[reference:32]；被通缉"
"伪军头目","蓬莱县","张余三","伪县知事","蓬莱大汉奸之一[reference:33]","抗战胜利后潜逃[reference:34]；被通缉"
"伪军头目","蓬莱县","郑君仪","伪民政科长","蓬莱大汉奸之一[reference:35]","抗战胜利后潜逃[reference:36]；被通缉"
