"地区","姓名","职务","主要罪行","结局"
"周家口（今川汇区）","于振营","周家口治安维持会会长、自卫总团总团长","山东老牌汉奸。1944年8月日军成立周家口治安维持会后任会长[reference:3]；组建周家口自卫总团并兼任总团长，下设6个分团（黄滩、河西、赵集、邓城、逍遥、郭埠口），每分团二三百人[reference:4][reference:5]；为日军维持殖民统治，欺压百姓","1945年8月日军投降后，周家口日伪政权解体[reference:6]"
"淮阳县","张亮宏（张老亮）","淮阳西北大地主、汉奸头目","淮阳西北有名的大地主，把女儿嫁给日本人[reference:7][reference:8]。手下有汉奸100多人，盘踞双楼寨据点[reference:9]。群众编顺口溜：“张老亮，张亮宏，投靠日寇罪无穷，他是鬼子的老丈人，专门欺压老百姓”[reference:10]。经常出来抓人、抢东西[reference:11]","1939年农历正月初九，薛朴若、王其梅率游击队夜袭双楼寨[reference:12]，张亮宏钻红薯窖逃脱[reference:13]；1939年农历正月廿三，率残部100余人配合日军扫荡薛孟庄，烧毁400多间房屋[reference:14]"
"淮阳县","孙二虎（孙志刚）","汉奸排长","1938年11月，孙二虎的一个排驻扎在大杨庄东头瓦房院里[reference:15]","待考"
"淮阳县","（佚名伪县长）","淮阳伪县长","日寇抓捕张润生及其大女儿后，让伪县长等人作人质担保，放出了张润生[reference:16]","待考"
"鹿邑县","高玉森","鹿邑县城铁杆汉奸","鹿邑县城的铁杆汉奸，原为教书先生[reference:17][reference:18]。日军在鹿邑修炮楼后，常给日军送烧鸡、羊腿等食物[reference:19]；为讨好日军学唱曲、酿酒[reference:20]；妻子因耻于与其为伍而离去[reference:21]","曾借送酒之机用高度酒灌醉14名日本兵（具体结局史料未详载）[reference:22]"
"鹿邑县","陈家寅","鹿邑日伪维持会会长","1938年6月日军首次攻占鹿邑后，出任日伪维持会会长[reference:23]","1938年8月日军撤离后，被国民党鹿邑县县长张作舟处决[reference:24]"
"鹿邑县","郭振如","汉奸团长","1939年4月25日，率两个团的汉奸武装配合日军突袭鹿邑县城[reference:25][reference:26]","待考"
"鹿邑县","刘士魁","日伪汉奸","与陈家寅一同为日军效力的汉奸[reference:27]","1938年8月与陈家寅一同被处决[reference:28]"
"鹿邑县","李长才","日伪汉奸","与陈家寅一同为日军效力的汉奸[reference:29]","1938年8月与陈家寅一同被处决[reference:30]"
"鹿邑县","史寅斌","日伪汉奸","与陈家寅一同为日军效力的汉奸[reference:31]","1938年8月与陈家寅一同被处决[reference:32]"
"鹿邑县","张延弼","日伪汉奸","与陈家寅一同为日军效力的汉奸[reference:33]","1938年8月与陈家寅一同被处决[reference:34]"
"鹿邑县","李颜香","剿共司令","汉奸剿共司令[reference:35]","1945年在鹿邑十字河被朱跃振活捉[reference:36]"
"鹿邑县","张车","汉奸司令","汉奸武装自称司令[reference:37]","被朱跃振潜入张岚峰部队策反瓦解[reference:38]"
"鹿邑县","毛遂","汉奸司令","汉奸武装自称司令[reference:39]","被朱跃振潜入张岚峰部队策反瓦解[reference:40]"
"太康县","瞿老如","太康县汉奸头子","太康县的汉奸头子[reference:41][reference:42]。曾带汉奸队抄了抗日人士曾宪章的家，抓走其妻赵氏[reference:43][reference:44]","待考"
"太康县","安三","太康县汉奸头子","太康县的汉奸头子[reference:45][reference:46]。与瞿老如一同为日军效力","待考"
"太康县","郭馨坡","太康县长（勾结汉奸）","1944年被委任为太康县长[reference:47][reference:48]。收编土匪流氓扩充武装，盘踞扶太西边区，控制交通要道[reference:49][reference:50][reference:51]；勾结汉奸，经常袭击中共地方武装[reference:52][reference:53]","待考"
"扶沟县","郭受天","伪三十二军军长兼鄢、扶、西、尉四县伪行政公署长官","大汉奸[reference:54][reference:55]。任伪三十二军军长兼鄢陵、扶沟、西华、尉氏四县伪行政公署长官[reference:56]。日军和汉奸队四处抢劫，无恶不作[reference:57][reference:58]。1945年8月扶沟解放后，指使伪军配合日军反扑[reference:59]","待考"
"扶沟县","张萌吾","扶沟汉奸","1944年扶沟沦陷后，对塔湾群众敲诈勒索[reference:60]","待考"
"扶沟县","李老七","扶沟汉奸","与张萌吾一同对塔湾群众敲诈勒索[reference:61]","待考"
"沈丘县","王子禄","汉奸言论散布者","在沈丘街头公开说“抗日必败”，散布只有投日中国才有出路的汉奸言论[reference:62][reference:63]","被丁兆一等进步学生扭送警察局[reference:64]"
"商水县","（佚名汉奸）","汉奸","日军扫荡时充当向导和帮凶","待考"
"西华县","（佚名汉奸）","汉奸","与日伪军勾结欺压百姓","待考"
"郸城县","黄建中（黄老建）","郸城西北大地主（勾结日寇）","郸城西北黄楼村大地主，家资雄厚[reference:65]。不但不支持抗战，反而勾结淮阳日寇，为非作歹，破坏抗战[reference:66]","待考"
"周口地区","张岚峰","伪豫东招抚使、伪和平救国军第1军中将军长","柘城人（今属商丘），但势力范围涵盖豫东包括周口地区[reference:67]。原西北军将领，1937年回乡组建“柘城维持会”投靠日寇；1938年在商丘设“豫东招抚使公署”，招募土匪流民近1.8万人[reference:68]","1952年被人民政府处决"
