"类别","地区","姓名","职务/身份","主要罪行","结局"
"伪政权高官","济宁（兖州）","王绍武（王梅芳/王歪头）","伪宁阳县知事（1939）→伪兖济道道尹（1942—1945）","滋阳（今兖州）人[reference:2]。原为土匪武装头目，1938年率部投降日军[reference:3]。任宁阳伪县长期间祸害宁阳四年[reference:4]；1942年升任兖济道道尹，管辖济宁、宁阳、曲阜、滋阳等十余县伪政权。推行保甲连坐，强征粮食壮丁；配合日军扫荡泰西、尼山抗日根据地；大肆抓捕地下党员与抗日干部[reference:5]。打死打伤我军民数百人[reference:6]","1945年日本投降后投靠国民党；解放战争后期被俘，镇反运动中被判处死刑执行枪决[reference:7]"
"伪政权高官","曲阜","吴廷玉","曲阜县维持会会长","曲阜城大地主、大资本家[reference:8]。1938年1月4日晨，制作日本膏药旗迎接日军大部队进城[reference:9]。日军进城后随即任命其为“维持会”会长，并组织伪曲阜县公署、伪曲阜县警备队[reference:10][reference:11]。协助日军搜刮城内物资，逼迫百姓办理良民证；拉拢乡绅投敌，在各乡镇建立伪保甲体系[reference:12]","抗战胜利后被逮捕，以汉奸罪判刑，刑满后回乡[reference:13]"
"伪政权高官","济宁","常之英","伪山东省公署总务厅长→伪潍县知事→伪莱潍道尹→伪登州道尹→伪济南道道尹→伪青州特别区行政长官","济宁人[reference:14]。1915年北京政府陆军参谋本部测量学校毕业[reference:15]。1938年5月投降日军[reference:16]。先后任伪山东省公署总务厅长、伪潍县知事、伪莱潍道尹、伪登州道尹、伪济南道道尹等职[reference:17][reference:18]","1946年被国民党山东省高等法院以汉奸罪逮捕，判处有期徒刑7年[reference:19][reference:20]"
"伪政权高官","济宁","程镕","伪兖济道道尹（继任）","1944年4月15日，伪山东省政府发出训令，伪兖济道道尹程镕代理济南市长[reference:21]","待考"
"伪政权高官","滋阳（今兖州）","金甲一","滋阳县伪县长（1940—1945）","日伪委派外来官员，1940年至1945年担任滋阳县伪县长[reference:22]。横征暴敛，搜刮钱粮供给日军；协助日军修筑据点碉堡，镇压兖州周边抗日活动[reference:23]","日军投降后随日伪人员北逃，下落不明[reference:24]"
"伪军头目（济宁三大汉奸之一）","汶上县（原济宁县）","刘本功（刘建勋/活阎王/刘半湖）","伪郓城县维持会会长→伪郓城县县长（1939—1945）→国民党鲁西南剿匪总司令","汶上县康驿东刘庄人[reference:25]。韩复榘旧部特务连长[reference:26][reference:27]。1939年1月投靠日军，任伪郓城县长，统治郓城长达七年[reference:28]。兵力2000余人[reference:29]。配合日军九二七大扫荡，屠杀抗日军民两千人以上；强征数万百姓修筑金堤封锁沟；焚烧村庄、劫掠湖区[reference:30]。1942年以私通八路罪名活埋潘渡村皮行经理李殿阁[reference:31]；1943—1944年强征1437名青壮年赴日本北海道挖煤，仅131人生还[reference:32]","日军投降后投靠国民党，驻守济宁[reference:33]。1946年济宁解放逃至济南，被国民党山东省长王耀武以恶贯郓城、失守济宁等罪处决[reference:34][reference:35]"
"伪军头目（济宁三大汉奸之一）","汶上县","陈德山（小梁子）","伪大队长（刘本功部）","汶上县康驿人[reference:36]。早年在戏班唱戏[reference:37]，1941年以蜀山湖为据点拉帮为匪[reference:38]。1942年投靠刘本功，任伪大队长，活动汶上、济宁、宁阳交界[reference:39][reference:40]。到处劫掠，捕杀民兵、农会干部；多次随伪军下乡“清乡”[reference:41]。抗战胜利后变本加厉，配合国民党84师疯狂袭击屠杀共产党干部和群众，两三年间杀害干部群众几百人[reference:42]","抗战胜利后投靠国民党[reference:43]。1951年2月在哈尔滨被抓获，押解济宁后处决[reference:44][reference:45][reference:46]"
"伪军头目","嘉祥县","阎先恕","嘉祥县伪三区区长→嘉祥县自卫团团长","嘉祥县纸坊镇阎村人[reference:47]。1938年3月任嘉祥县伪三区区长[reference:48]。1940年成立新民会三区分会，推行“强化治安政策”[reference:49]。1942年组建百余人的自卫团自任团长[reference:50]。1943年被国民党改编为鲁西专署保安第十旅任旅长，近2000人[reference:51]。率部屠杀抗日军民和群众，抢劫抗日政府粮食物资[reference:52]。自1939年至1947年共杀害308人[reference:53]","1947年3月9日被冀鲁豫七分区参谋长杨昆部击毙[reference:54][reference:55]"
"伪军头目","泗水县","冯德志","泗水县伪警察所特务系长","泗水人[reference:56]。旧政权巡官，1939年返回泗水投靠日伪警务局，掌管特务系，直接归兖州日本宪兵指挥[reference:57]。建立情报网，收买乡村密探；搜捕地下党组织，抓捕杀害多名抗日干部；策划偷袭抗日人员驻地[reference:58]","泗水解放后被俘，公审后枪毙[reference:59]"
"伪军头目","泗水县","张显荣","泗水皇协军司令","泗水张庄人[reference:60]。原本拉起武装号称抗日，1942年经受日伪威逼利诱，率千余人队伍投降日军，出任皇协军司令，盘踞泗南山区[reference:61]。调转枪口攻打尼山根据地；出卖地下交通站；在山区设立据点，勒索周边村庄[reference:62]","1944年八路军攻克张庄据点，张显荣被击毙[reference:63]"
"伪军头目","兖州","金永福","兖州汉奸司令","1940年6月，调集五县联防剿共大队的曲阜、邹县伪民团2000余人，向邹县抗日民主政府驻地长座村进犯[reference:64]","待考"
"伪军头目","泗水县","齐子修","伪和平治安军二十二师师长","抗战时期鲁西北著名汉奸[reference:65]。其兵有两套军装：一套国民党的，一套皇协军的；有两种番号：国民党山东省政府保安十一旅，日寇和平治安军二十二师[reference:66]","待考"
"伪军头目","济宁","赵文超","喻屯伪自卫团副团长","盘踞喻屯伪据点，为日伪效力","1945年5月19日被冀鲁豫十一军分区十团攻占喻屯据点时活捉[reference:67]；6月初在九子集公判大会被处决[reference:68]"
"伪军头目","济宁","张育允","喻屯伪区长","盘踞喻屯伪据点，为日伪效力","1945年5月19日被活捉[reference:69]；7月初被中共济宁县委以张育允换回喻屯区区长赵绍虞[reference:70]"
"伪军头目","济宁","艾延银","叛变投敌分子（原喻屯区中队队员）","1945年4月24日叛变告密，致使喻屯区区长赵绍虞等31人全部被俘，掠去长短枪32支[reference:71]","1945年5月19日被活捉[reference:72]；6月初在九子集公判大会被处决[reference:73]"
"伪军头目","嘉祥县","黄贯一","顽匪头目","与阎先恕纠集地痞流氓拉起队伍，不抗日反而向当地村民派粮派款[reference:74]","待考"
"伪政权基层","曲阜","王冠三（王冠山）","伪职人员","曲阜大资本家[reference:75]。1938年1月4日与吴廷玉一同制作日本膏药旗迎接日军进城[reference:76]","待考"
"伪政权基层","汶上县","姚学柱（姚学著）","汶上县伪县长","滋阳（今兖州）人[reference:77]。剃头匠出身的青皮无赖和铁杆汉奸[reference:78]。任伪汶上县长期间，多次率汉奸队抓捕抗日人员[reference:79]。1945年7月抗日战争胜利前夕龟缩在汶上城内[reference:80]","待考"
"伪政权基层","嘉祥县","赵子平","国民党嘉祥县县长（战后）","1946年10月委任阎先恕为嘉祥县自卫团团长[reference:81]","待考"
"伪密探","泗水县","郭茂柱","泗水县王坟庄密探","普通村民，被特务冯德志收买充当秘密眼线[reference:82]","待考"
"济宁籍大汉奸","济宁","唐仰杜","伪山东省省长（1939—1945）","邹城人（今属济宁）[reference:83]。1939年出任伪山东省省长，积极为日本侵略者组建伪军和各级伪政权，镇压抗日军民[reference:84]","1951年4月29日在济南被执行枪决"
"济宁籍大汉奸","济宁","朱泮藻","伪兖济道道尹（早期）","日伪时期曾任兖济道道尹[reference:85]","待考"
