"地区","姓名","职务/身份","主要罪行","结局"
"常宁县","赵炎（号石泉）","常宁县救济总会会长","北平(京)人，原为湘桂路衡阳西站运输队第二分队长[reference:4]。1944年常宁沦陷后投敌，任“常宁县救济总会”会长[reference:5][reference:6]。组建汉奸集团，以李馥为总务科长兼警卫科长兼军法官[reference:7]。设立日语模范学校自任校长，设立警察队、便衣队、苦力队[reference:8]。向百姓摊派粮食、食盐等物资[reference:9]；为日寇输送年轻妇女供其享乐[reference:10]","1945年日本投降后与妻子彭素兰一同被县政府缉拿，双双枪决于县城桃花洲[reference:11]"
"常宁县","李馥","常宁县救济总会总务科长兼警卫科长兼军法官","赵炎汉奸集团核心成员，负责总务、警卫和军法事务[reference:12]","1945年10月7日在常宁县城被处决[reference:13][reference:14]"
"常宁县","邱方照","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:15][reference:16]"
"常宁县","欧阳梅","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:17][reference:18]"
"常宁县","唐伯萱","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:19][reference:20]"
"常宁县","刘侃","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:21][reference:22]"
"常宁县","谭蓉秋","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:23][reference:24]"
"常宁县","陈启敏","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:25][reference:26]"
"常宁县","周泽芝","常宁县救济总会成员","赵炎汉奸集团成员","1945年10月7日在常宁县城被处决[reference:27][reference:28]"
"常宁县","欧阳春","常宁县救济总会民政科长","赵炎汉奸集团成员[reference:29]","待考"
"常宁县","萧鑫","常宁县救济总会财政科长","赵炎汉奸集团成员[reference:30]","待考"
"常宁县","王国民","常宁县救济总会副会长兼保安司令","土匪出身，与赵炎勾结，任县救济总会副会长兼保安司令[reference:31]","待考"
"常宁县","段泽清","常宁县救济总会警察队队长","赵炎汉奸集团武装负责人，有30条枪[reference:32]","待考"
"常宁县","刘韬","日军复兴队指导员、便衣队队长（首任）","原为守衡某军副官，衡阳被俘后投敌，初充便衣队长，后任日寇复兴队指导员[reference:33]","待考"
"常宁县","孟宪成","便衣队队长（继任）","安徽人，继刘韬之后任便衣队队长[reference:34]","待考"
"常宁县","王广发","苦力队队长","湖北人，直属日寇的苦力队队长[reference:35]","待考"
"常宁县","马孚荣","苦力队队长","长沙人，直属日寇的苦力队队长[reference:36]","待考"
"衡阳城区","卢瑞芳","衡阳维持会成员（闻人）","衡阳沦陷期间充当汉奸，参加日伪维持会，为虎作伥[reference:37]","待考"
"衡阳城区","汤春耕","衡阳维持会成员（酒酱业）","衡阳沦陷期间充当汉奸，参加日伪维持会，为虎作伥[reference:38]","待考"
"衡阳城区","唐祖赛","衡阳维持会成员（百货业）","衡阳沦陷期间充当汉奸，参加日伪维持会，为虎作伥[reference:39]","待考"
"衡阳（先和军）","方先觉","伪“先和军”军长","原国民党第十军军长。1944年8月8日衡阳保卫战后期向日军投降[reference:40][reference:41]。8月9日接见伪记者发表参加“和平阵营”谈话[reference:42]。接受日军任命担任伪“先和军”军长[reference:43][reference:44]","1944年12月（投降约百日后）被日军“释放”[reference:45]；后获蒋介石袒护，但遭各方抵制[reference:46]"
"衡阳地区","（105名汉奸分子）","汉奸分子","1940年5月1日衡阳锄奸讨逆运动中，各单位锄奸队清出的汉奸分子共105人[reference:47]","1940年5月1日公布并发布通缉令[reference:48]"
